,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
2,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,60,64,10,0,100,-4.29,0,5.0,8.0,-1001.0,13:41:23.121311,192.168.0.113
7,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,60,64,10,0,100,-4.28,0,5.0,9.0,-1002.0,13:41:23.223430,192.168.0.113
13,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,60,64,10,0,100,-4.27,0,3.0,16.0,-1001.0,13:41:23.325559,192.168.0.113
18,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,60,64,10,0,100,-4.27,0,17.0,5.0,-997.0,13:41:23.431272,192.168.0.113
23,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,60,64,10,0,100,-4.27,0,-2.0,-25.0,-974.0,13:41:23.529325,192.168.0.113
28,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,63,10,0,100,-4.27,0,32.0,45.0,-983.0,13:41:23.632647,192.168.0.113
33,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,63,10,0,100,-4.27,0,8.0,5.0,-1137.0,13:41:23.733546,192.168.0.113
38,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,1,61,63,10,0,100,-4.27,0,18.0,-8.0,-1371.0,13:41:23.836084,192.168.0.113
43,-1,-100,-100,-100,"0,0,0",1,0,2,0,0,5,61,63,10,0,100,-4.27,0,19.0,-11.0,-1316.0,13:41:23.937699,192.168.0.113
48,-1,-100,-100,-100,"0,0,0",1,0,2,0,0,7,61,63,14,0,100,-4.14,0,8.0,-14.0,-1132.0,13:41:24.039621,192.168.0.113
50,-1,-100,-100,-100,"0,0,0",1,0,2,0,0,7,61,63,22,0,100,-3.9,0,6.0,-11.0,-1034.0,13:41:24.090390,192.168.0.113
55,-1,-100,-100,-100,"0,0,0",1,0,2,0,0,7,61,63,32,10,100,-3.84,0,16.0,1.0,-987.0,13:41:24.192426,192.168.0.113
60,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,7,61,63,40,10,100,-3.74,1,0.0,-7.0,-924.0,13:41:24.294436,192.168.0.113
65,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,6,61,63,49,20,100,-3.67,1,19.0,-4.0,-911.0,13:41:24.396205,192.168.0.113
70,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,5,61,63,57,20,100,-3.58,1,2.0,-12.0,-899.0,13:41:24.498217,192.168.0.113
75,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,3,61,65,64,30,100,-3.47,1,8.0,15.0,-889.0,13:41:24.600344,192.168.0.113
80,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,2,61,65,71,30,100,-3.44,1,8.0,16.0,-909.0,13:41:24.702368,192.168.0.113
85,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,1,61,65,76,30,100,-3.32,1,19.0,-4.0,-934.0,13:41:24.804503,192.168.0.113
90,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,1,61,65,80,40,100,-3.35,1,-4.0,15.0,-939.0,13:41:24.907884,192.168.0.113
96,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,65,84,40,100,-3.36,1,9.0,-14.0,-943.0,13:41:25.008190,192.168.0.113
101,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,65,86,40,100,-3.28,1,8.0,0.0,-945.0,13:41:25.110554,192.168.0.113
107,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,65,89,40,100,-3.25,1,17.0,-2.0,-958.0,13:41:25.212322,192.168.0.113
112,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,65,91,40,100,-3.25,2,25.0,-9.0,-970.0,13:41:25.313975,192.168.0.113
117,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,65,93,40,100,-3.27,2,4.0,8.0,-959.0,13:41:25.416408,192.168.0.113
122,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,65,95,40,100,-3.2,2,19.0,7.0,-967.0,13:41:25.518465,192.168.0.113
127,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,65,95,50,100,-3.21,2,9.0,4.0,-970.0,13:41:25.621538,192.168.0.113
132,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,65,97,50,100,-3.2,2,2.0,1.0,-966.0,13:41:25.722441,192.168.0.113
137,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,65,97,50,100,-3.2,2,-2.0,17.0,-979.0,13:41:25.824256,192.168.0.113
143,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,65,97,50,100,-3.12,2,18.0,10.0,-945.0,13:41:25.926279,192.168.0.113
148,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,65,98,50,100,-3.21,2,9.0,21.0,-969.0,13:41:26.028202,192.168.0.113
153,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,65,96,50,100,-3.14,2,-3.0,-10.0,-967.0,13:41:26.130162,192.168.0.113
158,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,65,96,50,100,-3.15,2,1.0,-8.0,-975.0,13:41:26.232121,192.168.0.113
163,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,65,96,50,100,-3.2,3,10.0,0.0,-979.0,13:41:26.334123,192.168.0.113
168,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,65,94,50,100,-3.26,3,9.0,-2.0,-978.0,13:41:26.436251,192.168.0.113
173,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,65,93,50,100,-3.19,3,0.0,9.0,-992.0,13:41:26.538515,192.168.0.113
178,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,64,93,50,100,-3.19,3,15.0,34.0,-996.0,13:41:26.640134,192.168.0.113
183,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,64,91,50,100,-3.24,3,15.0,8.0,-1005.0,13:41:26.744051,192.168.0.113
188,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,64,90,50,100,-3.21,3,0.0,6.0,-1002.0,13:41:26.844403,192.168.0.113
190,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,64,89,50,100,-3.26,3,-8.0,18.0,-1013.0,13:41:26.895421,192.168.0.113
195,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,64,87,40,100,-3.2,3,-5.0,1.0,-999.0,13:41:26.998397,192.168.0.113
200,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,64,86,40,100,-3.25,3,4.0,-15.0,-987.0,13:41:27.099272,192.168.0.113
205,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,64,85,40,100,-3.3,3,9.0,2.0,-1003.0,13:41:27.200697,192.168.0.113
210,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,64,84,40,100,-3.35,4,-8.0,-4.0,-996.0,13:41:27.303228,192.168.0.113
215,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,-1,61,64,82,40,100,-3.2,4,2.0,11.0,-1016.0,13:41:27.404873,192.168.0.113
220,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,64,81,40,100,-3.21,4,-16.0,20.0,-1020.0,13:41:27.507320,192.168.0.113
226,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,64,81,40,100,-3.31,4,-11.0,8.0,-1009.0,13:41:27.617753,192.168.0.113
232,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,64,80,40,100,-3.26,4,-3.0,-12.0,-1003.0,13:41:27.711316,192.168.0.113
236,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,64,79,40,100,-3.25,4,6.0,7.0,-1012.0,13:41:27.813013,192.168.0.113
242,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,64,78,40,100,-3.27,4,-9.0,8.0,-1022.0,13:41:27.915249,192.168.0.113
247,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,64,77,40,100,-3.34,4,-1.0,-15.0,-1012.0,13:41:28.017305,192.168.0.113
252,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,64,77,40,100,-3.28,4,8.0,10.0,-996.0,13:41:28.118924,192.168.0.113
257,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,64,77,40,100,-3.31,4,7.0,9.0,-1006.0,13:41:28.221050,192.168.0.113
262,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,64,76,40,100,-3.32,5,-6.0,1.0,-1002.0,13:41:28.322859,192.168.0.113
268,-1,-100,-100,-100,"0,0,0",0,-1,2,0,0,0,61,64,76,40,100,-3.25,5,17.0,20.0,-1006.0,13:41:28.425237,192.168.0.113
273,-1,-100,-100,-100,"0,0,0",0,-1,2,0,0,0,61,64,75,30,100,-3.29,5,17.0,14.0,-993.0,13:41:28.527027,192.168.0.113
278,-1,-100,-100,-100,"0,0,0",0,-1,2,0,0,0,62,64,75,30,100,-3.33,5,13.0,24.0,-1002.0,13:41:28.629130,192.168.0.113
283,-1,-100,-100,-100,"0,0,0",0,-1,2,0,0,0,62,64,75,30,100,-3.38,5,11.0,23.0,-1003.0,13:41:28.731048,192.168.0.113
288,-1,-100,-100,-100,"0,0,0",1,-1,2,0,0,0,62,64,76,30,100,-3.36,5,-5.0,11.0,-1013.0,13:41:28.833077,192.168.0.113
293,-1,-100,-100,-100,"0,0,0",0,-1,2,0,0,0,62,64,76,30,100,-3.33,5,11.0,2.0,-992.0,13:41:28.935251,192.168.0.113
298,-1,-100,-100,-100,"0,0,0",0,-1,2,0,0,0,62,64,77,30,100,-3.31,5,-10.0,17.0,-1004.0,13:41:29.036978,192.168.0.113
303,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,62,64,76,30,100,-3.31,5,-5.0,8.0,-1002.0,13:41:29.139013,192.168.0.113
308,-1,-100,-100,-100,"0,0,0",1,-1,2,0,0,0,62,64,76,30,100,-3.35,5,-16.0,11.0,-1036.0,13:41:29.241096,192.168.0.113
313,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,62,64,76,30,100,-3.33,6,11.0,-6.0,-1003.0,13:41:29.343306,192.168.0.113
318,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,62,64,77,30,100,-3.3,6,21.0,23.0,-996.0,13:41:29.445071,192.168.0.113
323,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,62,64,76,30,100,-3.34,6,13.0,-5.0,-1002.0,13:41:29.547302,192.168.0.113
328,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,62,64,76,30,100,-3.32,6,19.0,10.0,-1018.0,13:41:29.649961,192.168.0.113
333,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,62,64,77,40,100,-3.35,6,1.0,-4.0,-978.0,13:41:29.750940,192.168.0.113
338,-1,-100,-100,-100,"0,0,0",1,0,2,0,0,0,62,64,77,40,100,-3.38,6,3.0,-3.0,-987.0,13:41:29.852947,192.168.0.113
343,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,62,64,77,40,100,-3.35,6,9.0,0.0,-981.0,13:41:29.955402,192.168.0.113
348,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,62,64,78,40,100,-3.39,6,-9.0,4.0,-993.0,13:41:30.056862,192.168.0.113
353,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,62,64,79,40,100,-3.38,6,-12.0,-4.0,-1015.0,13:41:30.162233,192.168.0.113
358,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,62,64,79,40,100,-3.36,6,8.0,-38.0,-985.0,13:41:30.261104,192.168.0.113
360,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,62,64,79,40,100,-3.33,7,-4.0,-8.0,-992.0,13:41:30.311681,192.168.0.113
366,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,62,64,79,40,100,-3.33,7,3.0,5.0,-1012.0,13:41:30.414004,192.168.0.113
372,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,62,64,80,40,100,-3.33,7,5.0,-14.0,-1018.0,13:41:30.515881,192.168.0.113
377,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,65,80,40,100,-3.35,7,-6.0,-7.0,-993.0,13:41:30.617952,192.168.0.113
382,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,65,81,40,100,-3.31,7,-6.0,9.0,-998.0,13:41:30.719830,192.168.0.113
387,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,61,65,81,40,100,-3.34,7,-18.0,8.0,-1011.0,13:41:30.821694,192.168.0.113
