,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
1,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,94,-9.09,0,-3.0,-2.0,-1000.0,12:24:17.668055,192.168.0.115
7,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,94,-9.08,0,-5.0,-1.0,-1001.0,12:24:17.769959,192.168.0.115
12,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,94,-9.05,0,-4.0,0.0,-999.0,12:24:17.872317,192.168.0.115
17,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,94,-9.05,0,-6.0,-1.0,-1000.0,12:24:17.974379,192.168.0.115
22,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,94,-9.05,0,-6.0,-7.0,-994.0,12:24:18.076976,192.168.0.115
27,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,94,-9.05,0,5.0,0.0,-985.0,12:24:18.179241,192.168.0.115
32,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,94,-9.05,0,-26.0,26.0,-1086.0,12:24:18.281509,192.168.0.115
37,-1,-100,-100,-100,"0,0,0",0,0,-1,0,0,0,63,65,10,0,94,-9.05,0,-20.0,19.0,-1206.0,12:24:18.383874,192.168.0.115
42,-1,-100,-100,-100,"0,0,0",0,0,-1,0,0,2,63,65,10,0,94,-9.05,0,56.0,2.0,-1324.0,12:24:18.487010,192.168.0.115
47,-1,-100,-100,-100,"0,0,0",0,0,-1,0,0,5,63,65,10,0,94,-8.92,0,1.0,-10.0,-1183.0,12:24:18.588726,192.168.0.115
52,-1,-100,-100,-100,"0,0,0",0,0,-1,0,0,6,63,65,18,0,94,-8.77,0,-7.0,-6.0,-1049.0,12:24:18.688386,192.168.0.115
57,-1,-100,-100,-100,"0,0,0",0,0,-1,0,0,7,63,65,24,0,94,-8.64,0,-8.0,-7.0,-1003.0,12:24:18.790282,192.168.0.115
62,-1,-100,-100,-100,"0,0,0",0,0,-1,0,0,7,63,65,34,0,94,-8.56,1,-12.0,16.0,-985.0,12:24:18.892385,192.168.0.115
67,-1,-100,-100,-100,"0,0,0",0,0,-1,0,0,6,63,65,43,10,94,-8.43,1,-12.0,27.0,-933.0,12:24:18.994308,192.168.0.115
74,-1,-100,-100,-100,"0,0,0",0,0,-1,0,0,6,63,65,52,10,94,-8.33,1,36.0,6.0,-920.0,12:24:19.096387,192.168.0.115
79,-1,-100,-100,-100,"0,0,0",0,-1,-1,0,0,5,63,66,60,20,94,-8.27,1,23.0,44.0,-868.0,12:24:19.198290,192.168.0.115
84,-1,-100,-100,-100,"0,0,0",0,-1,-1,0,0,3,63,66,67,20,94,-8.16,1,-28.0,84.0,-865.0,12:24:19.300097,192.168.0.115
85,-1,-100,-100,-100,"0,0,0",0,-2,-1,0,-1,2,63,66,73,20,94,-8.15,1,-6.0,57.0,-913.0,12:24:19.350908,192.168.0.115
90,-1,-100,-100,-100,"0,0,0",0,-4,-1,0,-1,1,63,66,78,30,94,-8.05,1,-18.0,49.0,-945.0,12:24:19.453425,192.168.0.115
95,-1,-100,-100,-100,"0,0,0",0,-5,-1,0,-1,1,63,66,84,30,94,-8.04,1,-13.0,34.0,-938.0,12:24:19.555380,192.168.0.115
100,-1,-100,-100,-100,"0,0,0",0,-4,-1,0,0,0,63,66,87,30,94,-8.11,1,-37.0,56.0,-968.0,12:24:19.657351,192.168.0.115
105,-1,-100,-100,-100,"0,0,0",0,-2,-2,0,0,0,63,66,90,30,94,-8.09,1,-36.0,66.0,-955.0,12:24:19.759174,192.168.0.115
111,-1,-100,-100,-100,"0,0,0",-1,-2,-2,0,0,0,63,66,93,30,94,-8.05,2,-10.0,34.0,-919.0,12:24:19.861303,192.168.0.115
116,-1,-100,-100,-100,"0,0,0",0,-3,-2,0,0,0,63,66,96,40,94,-7.93,2,-8.0,48.0,-923.0,12:24:19.963046,192.168.0.115
121,-1,-100,-100,-100,"0,0,0",-1,-3,-2,0,0,0,63,66,96,40,94,-7.93,2,-19.0,66.0,-943.0,12:24:20.065341,192.168.0.115
126,-1,-100,-100,-100,"0,0,0",-1,-2,-2,0,0,-1,64,65,98,40,94,-7.97,2,-5.0,70.0,-975.0,12:24:20.167233,192.168.0.115
132,-1,-100,-100,-100,"0,0,0",-1,-2,-2,0,0,-1,64,65,98,40,94,-7.91,2,-6.0,95.0,-977.0,12:24:20.269305,192.168.0.115
137,-1,-100,-100,-100,"0,0,0",-1,-4,-2,0,0,-1,64,65,99,40,94,-7.88,2,-29.0,70.0,-1005.0,12:24:20.371218,192.168.0.115
142,-1,-100,-100,-100,"0,0,0",0,-5,-2,0,0,-1,64,65,100,40,94,-7.84,2,-41.0,26.0,-1016.0,12:24:20.473328,192.168.0.115
147,8,-36,27,105,"2,9,-177",0,-4,-1,0,0,-1,64,65,99,40,94,-7.85,2,-25.0,26.0,-948.0,12:24:20.575166,192.168.0.115
152,8,-36,27,105,"2,9,-177",-1,-2,-1,0,0,-1,64,65,99,40,94,-7.91,2,-9.0,58.0,-1018.0,12:24:20.677130,192.168.0.115
157,8,-36,27,105,"2,9,-177",-1,-1,-1,0,0,-1,64,65,99,40,94,-7.94,2,-38.0,92.0,-1005.0,12:24:20.779349,192.168.0.115
162,8,-36,27,105,"2,9,-177",-1,-2,-1,0,0,0,64,65,99,40,94,-7.96,3,-1.0,56.0,-903.0,12:24:20.881247,192.168.0.115
167,8,-36,27,105,"2,9,-177",-1,-3,-2,0,0,-1,64,65,98,50,94,-8.0,3,-32.0,38.0,-981.0,12:24:20.983316,192.168.0.115
172,8,-36,27,105,"2,9,-177",0,-2,-2,0,0,-1,64,65,98,50,94,-7.91,3,-33.0,79.0,-1005.0,12:24:21.085373,192.168.0.115
177,8,-36,27,105,"2,9,-177",-1,-2,-1,0,0,-1,63,66,96,40,94,-7.96,3,5.0,29.0,-936.0,12:24:21.187599,192.168.0.115
182,8,-36,27,105,"2,9,-177",-2,-2,-1,0,0,-1,63,66,95,40,94,-7.89,3,-24.0,56.0,-990.0,12:24:21.289346,192.168.0.115
187,8,-36,27,105,"2,9,-177",-1,-4,-1,0,0,-1,63,66,94,40,94,-7.92,3,22.0,23.0,-1058.0,12:24:21.391204,192.168.0.115
192,8,-36,27,105,"2,9,-177",0,-5,-1,0,0,-1,63,66,93,40,94,-8.03,3,-6.0,40.0,-986.0,12:24:21.493219,192.168.0.115
198,8,-36,27,105,"2,9,-177",0,-4,-1,0,0,-1,63,66,91,40,94,-7.94,3,0.0,75.0,-1015.0,12:24:21.595044,192.168.0.115
204,8,-36,27,105,"2,9,-177",0,-2,-1,0,0,-1,63,66,90,40,94,-7.98,3,11.0,44.0,-977.0,12:24:21.697263,192.168.0.115
209,8,-36,27,105,"2,9,-177",0,-2,-1,0,0,-1,63,66,88,40,94,-8.04,3,7.0,60.0,-958.0,12:24:21.799267,192.168.0.115
214,8,-36,27,105,"2,9,-177",0,-2,-2,0,0,-1,63,66,86,40,94,-8.05,4,-53.0,28.0,-1029.0,12:24:21.901491,192.168.0.115
