,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
0,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,68,10,0,92,-58.24,0,2.0,-4.0,-999.0,11:38:00.091002,192.168.0.115
5,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,68,10,0,92,-58.26,0,1.0,-3.0,-1001.0,11:38:00.192852,192.168.0.115
10,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,68,10,0,92,-58.27,0,4.0,-4.0,-1001.0,11:38:00.294804,192.168.0.115
15,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,68,10,0,92,-58.27,0,-1.0,0.0,-1004.0,11:38:00.396818,192.168.0.115
20,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,68,10,0,92,-58.27,0,3.0,19.0,-994.0,11:38:00.498819,192.168.0.115
25,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,68,10,0,92,-58.27,0,4.0,6.0,-1030.0,11:38:00.600809,192.168.0.115
31,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,68,10,0,92,-58.27,0,-38.0,5.0,-1093.0,11:38:00.702608,192.168.0.115
36,-1,-100,-100,-100,"0,0,0",-1,0,-1,0,0,0,65,68,10,0,92,-58.27,0,17.0,8.0,-1172.0,11:38:00.804787,192.168.0.115
41,-1,-100,-100,-100,"0,0,0",-1,0,-1,0,0,2,65,68,10,0,92,-58.27,0,40.0,19.0,-1327.0,11:38:00.906828,192.168.0.115
46,-1,-100,-100,-100,"0,0,0",1,0,-1,-1,0,5,66,68,10,0,92,-58.27,0,29.0,-15.0,-1204.0,11:38:01.008640,192.168.0.115
51,-1,-100,-100,-100,"0,0,0",3,-1,-1,-1,0,7,66,68,14,10,92,-57.82,0,69.0,-15.0,-1085.0,11:38:01.110682,192.168.0.115
56,-1,-100,-100,-100,"0,0,0",3,0,-1,-1,0,8,66,68,23,10,92,-57.78,0,76.0,13.0,-1002.0,11:38:01.212642,192.168.0.115
61,-1,-100,-100,-100,"0,0,0",3,0,-1,-1,0,8,66,68,33,20,92,-57.65,1,14.0,25.0,-930.0,11:38:01.314748,192.168.0.115
66,-1,-100,-100,-100,"0,0,0",3,0,-1,0,0,8,66,68,41,30,92,-57.59,1,26.0,-9.0,-902.0,11:38:01.417145,192.168.0.115
71,-1,-100,-100,-100,"0,0,0",3,0,-1,0,0,7,66,68,48,40,92,-57.54,1,37.0,1.0,-886.0,11:38:01.520265,192.168.0.115
76,-1,-100,-100,-100,"0,0,0",3,0,-1,0,0,5,66,68,56,40,92,-57.53,1,27.0,-17.0,-873.0,11:38:01.621739,192.168.0.115
81,-1,-100,-100,-100,"0,0,0",3,0,-1,0,0,4,66,68,62,50,92,-57.39,1,14.0,4.0,-889.0,11:38:01.722775,192.168.0.115
86,-1,-100,-100,-100,"0,0,0",2,0,-1,0,0,3,66,68,66,50,92,-57.4,1,39.0,-24.0,-897.0,11:38:01.824754,192.168.0.115
91,-1,-100,-100,-100,"0,0,0",2,0,-1,0,0,2,66,68,69,50,92,-57.39,1,27.0,-16.0,-919.0,11:38:01.926886,192.168.0.115
97,-1,-100,-100,-100,"0,0,0",2,0,-1,0,0,1,65,67,72,60,92,-57.32,1,7.0,-3.0,-939.0,11:38:02.028673,192.168.0.115
102,-1,-100,-100,-100,"0,0,0",2,0,-1,0,0,1,65,67,74,60,92,-57.29,1,25.0,-8.0,-953.0,11:38:02.130592,192.168.0.115
107,-1,-100,-100,-100,"0,0,0",2,0,-1,0,0,1,65,67,76,60,92,-57.26,1,26.0,-20.0,-979.0,11:38:02.232769,192.168.0.115
113,-1,-100,-100,-100,"0,0,0",1,1,-1,0,0,0,65,67,78,60,92,-57.14,2,36.0,-13.0,-973.0,11:38:02.334945,192.168.0.115
