,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
6,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,68,70,10,0,74,-1.42,0,-5.0,0.0,-1001.0,14:02:06.641551,192.168.0.115
11,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,68,70,10,0,74,-1.43,0,-6.0,-3.0,-999.0,14:02:06.748215,192.168.0.115
16,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,68,71,10,0,74,-1.42,0,-10.0,-3.0,-1001.0,14:02:06.845597,192.168.0.115
21,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,68,71,10,0,74,-1.42,0,-8.0,-7.0,-994.0,14:02:06.947537,192.168.0.115
26,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,68,71,10,0,74,-1.42,0,-9.0,12.0,-1002.0,14:02:07.049563,192.168.0.115
31,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,68,71,10,0,74,-1.42,0,-3.0,10.0,-1012.0,14:02:07.155236,192.168.0.115
36,-1,-100,-100,-100,"0,0,0",0,0,1,0,0,0,68,71,10,0,74,-1.42,0,0.0,-20.0,-996.0,14:02:07.253108,192.168.0.115
41,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,68,71,10,0,74,-1.42,0,6.0,-9.0,-1111.0,14:02:07.355542,192.168.0.115
46,-1,-100,-100,-100,"0,0,0",0,0,1,0,0,0,68,71,10,0,74,-1.42,0,-3.0,-11.0,-1046.0,14:02:07.457553,192.168.0.115
51,-1,-100,-100,-100,"0,0,0",0,0,1,0,0,3,68,71,10,0,74,-1.42,0,1.0,-4.0,-1191.0,14:02:07.559423,192.168.0.115
56,-1,-100,-100,-100,"0,0,0",0,1,2,0,0,6,68,71,17,0,74,-1.26,0,-31.0,-21.0,-1361.0,14:02:07.661514,192.168.0.115
61,-1,-100,-100,-100,"0,0,0",-1,1,1,0,0,7,68,71,24,0,74,-0.97,0,-46.0,29.0,-1210.0,14:02:07.763561,192.168.0.115
66,-1,-100,-100,-100,"0,0,0",0,0,1,0,0,7,68,70,33,10,74,-0.84,0,-24.0,-24.0,-1040.0,14:02:07.865509,192.168.0.115
71,-1,-100,-100,-100,"0,0,0",0,0,1,0,0,7,68,70,40,20,74,-0.81,1,-12.0,-41.0,-1066.0,14:02:07.967862,192.168.0.115
76,-1,-100,-100,-100,"0,0,0",-2,3,1,0,1,6,68,70,49,20,74,-0.64,1,-38.0,-64.0,-953.0,14:02:08.069476,192.168.0.115
81,-1,-100,-100,-100,"0,0,0",-4,5,1,1,1,5,68,70,55,30,73,-0.72,1,-94.0,-36.0,-847.0,14:02:08.171665,192.168.0.115
86,-1,-100,-100,-100,"0,0,0",-3,2,1,0,0,4,68,70,61,30,73,-0.86,1,-37.0,1.0,-817.0,14:02:08.273522,192.168.0.115
91,-1,-100,-100,-100,"0,0,0",-2,2,2,1,0,4,68,70,67,40,73,-0.84,1,-85.0,-56.0,-991.0,14:02:08.375621,192.168.0.115
96,-1,-100,-100,-100,"0,0,0",-4,1,2,1,0,3,68,70,72,40,73,-0.73,1,-110.0,17.0,-934.0,14:02:08.477466,192.168.0.115
101,-1,-100,-100,-100,"0,0,0",-6,0,2,1,0,2,68,70,77,40,73,-0.51,1,-68.0,52.0,-944.0,14:02:08.579492,192.168.0.115
106,-1,-100,-100,-100,"0,0,0",-5,0,2,1,0,1,68,70,80,50,73,-0.69,1,-53.0,14.0,-899.0,14:02:08.681830,192.168.0.115
111,-1,-100,-100,-100,"0,0,0",-5,0,2,1,0,1,68,70,83,50,73,-0.62,1,-54.0,12.0,-906.0,14:02:08.783521,192.168.0.115
116,-1,-100,-100,-100,"0,0,0",-5,-3,2,1,-1,0,67,70,85,50,73,-0.66,1,-98.0,28.0,-894.0,14:02:08.885606,192.168.0.115
121,-1,-100,-100,-100,"0,0,0",-5,-3,2,1,0,0,67,70,87,50,73,-0.65,2,-105.0,-7.0,-957.0,14:02:08.987476,192.168.0.115
126,-1,-100,-100,-100,"0,0,0",-6,0,2,0,0,0,67,70,89,50,73,-0.68,2,-104.0,-11.0,-1022.0,14:02:09.038753,192.168.0.115
131,-1,-100,-100,-100,"0,0,0",-5,1,2,0,0,0,67,70,90,50,73,-0.77,2,-91.0,16.0,-985.0,14:02:09.140412,192.168.0.115
136,-1,-100,-100,-100,"0,0,0",-6,0,1,0,0,0,67,70,92,60,73,-0.69,2,-96.0,1.0,-995.0,14:02:09.247560,192.168.0.115
141,-1,-100,-100,-100,"0,0,0",-7,-1,2,0,0,0,67,70,92,60,73,-0.58,2,-98.0,-18.0,-918.0,14:02:09.344522,192.168.0.115
146,-1,-100,-100,-100,"0,0,0",-7,1,2,0,0,0,67,70,92,60,73,-0.63,2,-116.0,-13.0,-973.0,14:02:09.446547,192.168.0.115
151,-1,-100,-100,-100,"0,0,0",-7,0,1,0,0,0,67,70,92,60,73,-0.7,2,-94.0,20.0,-930.0,14:02:09.548455,192.168.0.115
156,-1,-100,-100,-100,"0,0,0",-6,0,2,0,0,0,67,70,90,60,73,-0.62,2,-79.0,6.0,-984.0,14:02:09.650495,192.168.0.115
161,-1,-100,-100,-100,"0,0,0",-5,0,2,0,0,0,67,70,91,60,73,-0.9,2,-92.0,46.0,-950.0,14:02:09.752448,192.168.0.115
166,-1,-100,-100,-100,"0,0,0",-5,-3,2,0,0,0,68,70,90,60,73,-0.89,2,-65.0,69.0,-963.0,14:02:09.854377,192.168.0.115
171,-1,-100,-100,-100,"0,0,0",-5,-2,1,0,0,0,68,70,90,60,73,-0.81,3,-126.0,-2.0,-1084.0,14:02:09.961865,192.168.0.115
176,-1,-100,-100,-100,"0,0,0",-4,-2,1,0,0,-1,68,70,89,60,73,-0.72,3,-91.0,-5.0,-955.0,14:02:10.058276,192.168.0.115
181,-1,-100,-100,-100,"0,0,0",-5,0,1,0,0,-1,68,70,87,60,73,-0.56,3,-78.0,-19.0,-1010.0,14:02:10.160082,192.168.0.115
186,-1,-100,-100,-100,"0,0,0",-4,2,1,0,0,-1,68,70,86,60,73,-0.72,3,-103.0,1.0,-984.0,14:02:10.262358,192.168.0.115
191,-1,-100,-100,-100,"0,0,0",-5,0,2,0,0,0,68,70,87,60,73,-0.55,3,-117.0,56.0,-1047.0,14:02:10.364518,192.168.0.115
196,-1,-100,-100,-100,"0,0,0",-7,-2,2,0,0,0,68,70,86,60,73,-0.69,3,-133.0,38.0,-1051.0,14:02:10.466365,192.168.0.115
201,-1,-100,-100,-100,"0,0,0",-7,-2,2,0,0,0,68,70,85,60,73,-0.73,3,-156.0,21.0,-970.0,14:02:10.568509,192.168.0.115
206,-1,-100,-100,-100,"0,0,0",-8,-2,2,0,0,0,68,70,84,60,73,-0.79,3,-148.0,7.0,-1008.0,14:02:10.670436,192.168.0.115
211,-1,-100,-100,-100,"0,0,0",-6,0,2,0,0,0,68,70,82,60,73,-0.75,3,-104.0,-32.0,-1002.0,14:02:10.772577,192.168.0.115
216,-1,-100,-100,-100,"0,0,0",-6,0,2,0,0,0,68,69,82,60,73,-0.82,3,-95.0,48.0,-1034.0,14:02:10.874505,192.168.0.115
221,-1,-100,-100,-100,"0,0,0",-6,-1,2,0,0,0,68,69,81,50,73,-0.91,4,-96.0,63.0,-967.0,14:02:10.976263,192.168.0.115
226,-1,-100,-100,-100,"0,0,0",-7,-2,2,0,0,0,68,69,80,50,73,-0.91,4,-116.0,32.0,-977.0,14:02:11.078334,192.168.0.115
231,-1,-100,-100,-100,"0,0,0",-6,-1,2,0,0,0,68,69,79,50,73,-0.87,4,-86.0,22.0,-1042.0,14:02:11.180488,192.168.0.115
236,-1,-100,-100,-100,"0,0,0",-5,-1,1,0,0,0,68,69,80,50,73,-0.79,4,-118.0,24.0,-993.0,14:02:11.282358,192.168.0.115
241,-1,-100,-100,-100,"0,0,0",-6,-1,1,0,0,0,68,69,79,50,73,-0.9,4,-106.0,-18.0,-996.0,14:02:11.384520,192.168.0.115
246,-1,-100,-100,-100,"0,0,0",-6,0,1,0,0,0,68,69,78,50,73,-0.9,4,-101.0,4.0,-914.0,14:02:11.490604,192.168.0.115
251,-1,-100,-100,-100,"0,0,0",-5,0,1,0,0,0,68,69,79,50,73,-0.86,4,-89.0,-1.0,-1020.0,14:02:11.588493,192.168.0.115
256,-1,-100,-100,-100,"0,0,0",-5,0,1,0,0,0,68,69,79,50,73,-0.87,4,-118.0,19.0,-1017.0,14:02:11.639377,192.168.0.115
261,-1,-100,-100,-100,"0,0,0",-4,-1,1,0,0,0,68,69,79,50,73,-0.68,4,-115.0,45.0,-965.0,14:02:11.741773,192.168.0.115
266,-1,-100,-100,-100,"0,0,0",-6,0,2,0,0,0,68,70,79,50,73,-0.93,4,-128.0,-21.0,-1047.0,14:02:11.843681,192.168.0.115
271,-1,-100,-100,-100,"0,0,0",-6,1,2,0,0,0,68,70,80,50,73,-0.93,5,-118.0,30.0,-1010.0,14:02:11.945104,192.168.0.115
276,-1,-100,-100,-100,"0,0,0",-6,-1,1,0,0,0,68,70,79,50,73,-0.88,5,-127.0,24.0,-1015.0,14:02:12.047231,192.168.0.115
281,-1,-100,-100,-100,"0,0,0",-8,-2,1,0,0,0,68,70,80,50,73,-0.96,5,-118.0,9.0,-982.0,14:02:12.149148,192.168.0.115
286,-1,-100,-100,-100,"0,0,0",-8,-2,1,0,0,0,68,70,80,50,73,-0.93,5,-122.0,-6.0,-961.0,14:02:12.251149,192.168.0.115
291,-1,-100,-100,-100,"0,0,0",-9,-1,2,0,0,0,68,70,81,50,73,-1.11,5,-133.0,9.0,-1066.0,14:02:12.353327,192.168.0.115
296,-1,-100,-100,-100,"0,0,0",-9,1,1,0,0,0,68,70,81,50,73,-1.24,5,-121.0,-21.0,-978.0,14:02:12.454938,192.168.0.115
301,-1,-100,-100,-100,"0,0,0",-7,0,1,0,0,0,68,70,81,50,73,-1.13,5,-128.0,40.0,-911.0,14:02:12.558075,192.168.0.115
306,-1,-100,-100,-100,"0,0,0",-7,-2,1,0,0,0,68,70,81,50,73,-1.07,5,-173.0,45.0,-1014.0,14:02:12.660242,192.168.0.115
311,-1,-100,-100,-100,"0,0,0",-9,-1,1,0,0,0,68,70,81,50,73,-0.98,5,-166.0,-19.0,-979.0,14:02:12.762298,192.168.0.115
316,-1,-100,-100,-100,"0,0,0",-8,1,1,0,0,0,68,70,81,50,73,-1.04,5,-113.0,6.0,-1012.0,14:02:12.864230,192.168.0.115
321,-1,-100,-100,-100,"0,0,0",-8,0,1,0,0,0,68,70,81,50,73,-1.16,6,-144.0,-28.0,-965.0,14:02:12.966272,192.168.0.115
326,-1,-100,-100,-100,"0,0,0",-8,-1,2,0,0,0,68,70,81,50,73,-0.97,6,-177.0,64.0,-948.0,14:02:13.068240,192.168.0.115
331,-1,-100,-100,-100,"0,0,0",-7,0,2,0,0,0,68,70,80,50,73,-0.83,6,-76.0,3.0,-960.0,14:02:13.169783,192.168.0.115
336,-1,-100,-100,-100,"0,0,0",-9,0,2,0,0,0,68,70,80,50,73,-1.01,6,-110.0,-13.0,-1058.0,14:02:13.272194,192.168.0.115
341,-1,-100,-100,-100,"0,0,0",-7,0,1,0,0,0,68,70,80,50,73,-0.89,6,-129.0,33.0,-932.0,14:02:13.374318,192.168.0.115
346,-1,-100,-100,-100,"0,0,0",-7,0,1,0,0,0,68,70,80,50,73,-0.87,6,-95.0,-65.0,-979.0,14:02:13.476424,192.168.0.115
351,-1,-100,-100,-100,"0,0,0",-7,-1,1,0,0,0,68,70,80,50,73,-1.01,6,-103.0,-66.0,-1007.0,14:02:13.578097,192.168.0.115
356,-1,-100,-100,-100,"0,0,0",-8,-1,1,0,0,0,68,70,80,50,73,-1.0,6,-148.0,76.0,-960.0,14:02:13.680168,192.168.0.115
361,-1,-100,-100,-100,"0,0,0",-6,3,1,0,0,0,68,70,80,50,73,-0.93,6,-98.0,-9.0,-904.0,14:02:13.783161,192.168.0.115
366,-1,-100,-100,-100,"0,0,0",-7,0,1,0,0,0,68,70,80,50,73,-1.01,7,-97.0,-42.0,-966.0,14:02:13.884274,192.168.0.115
371,-1,-100,-100,-100,"0,0,0",-7,1,2,0,0,0,68,70,79,50,73,-1.13,7,-99.0,10.0,-1009.0,14:02:13.986172,192.168.0.115
376,-1,-100,-100,-100,"0,0,0",-8,0,2,0,0,0,68,70,79,50,73,-1.12,7,-99.0,-31.0,-1033.0,14:02:14.088299,192.168.0.115
381,-1,-100,-100,-100,"0,0,0",-9,0,2,-1,0,0,68,70,79,50,73,-1.05,7,-85.0,-41.0,-987.0,14:02:14.190279,192.168.0.115
386,-1,-100,-100,-100,"0,0,0",-6,2,2,-2,0,0,68,70,79,50,73,-1.19,7,-67.0,5.0,-1006.0,14:02:14.292357,192.168.0.115
392,-1,-100,-100,-100,"0,0,0",-6,0,2,-2,0,0,68,70,79,50,73,-1.0,7,-106.0,53.0,-1014.0,14:02:14.394250,192.168.0.115
397,-1,-100,-100,-100,"0,0,0",-5,0,2,-2,0,0,68,70,78,50,73,-1.2,7,-126.0,19.0,-1029.0,14:02:14.496200,192.168.0.115
402,-1,-100,-100,-100,"0,0,0",-6,-2,2,-1,0,0,68,70,79,50,73,-1.23,7,-180.0,2.0,-1041.0,14:02:14.598149,192.168.0.115
407,-1,-100,-100,-100,"0,0,0",-8,-1,2,-1,0,0,68,70,79,50,73,-1.15,7,-138.0,-8.0,-1010.0,14:02:14.700274,192.168.0.115
412,-1,-100,-100,-100,"0,0,0",-9,0,1,-1,0,0,68,70,79,50,73,-1.04,7,-109.0,11.0,-930.0,14:02:14.802156,192.168.0.115
417,-1,-100,-100,-100,"0,0,0",-9,0,1,-2,0,0,68,70,80,50,73,-1.1,8,-107.0,34.0,-940.0,14:02:14.904239,192.168.0.115
422,-1,-100,-100,-100,"0,0,0",-8,0,2,-2,0,0,68,70,79,50,73,-1.11,8,-90.0,21.0,-1011.0,14:02:15.006254,192.168.0.115
428,-1,-100,-100,-100,"0,0,0",-5,0,2,-2,0,0,68,70,79,50,73,-1.19,8,-157.0,39.0,-1056.0,14:02:15.108265,192.168.0.115
431,-1,-100,-100,-100,"0,0,0",-4,0,2,-2,0,0,68,70,78,50,73,-1.14,8,-176.0,60.0,-1066.0,14:02:15.158682,192.168.0.115
436,-1,-100,-100,-100,"0,0,0",-9,-3,1,-1,0,0,68,70,78,50,73,-0.99,8,-104.0,-7.0,-964.0,14:02:15.261028,192.168.0.115
441,-1,-100,-100,-100,"0,0,0",-9,-2,1,-2,0,0,68,70,79,50,73,-1.1,8,-129.0,-9.0,-1008.0,14:02:15.362975,192.168.0.115
446,-1,-100,-100,-100,"0,0,0",-6,1,1,-2,0,0,68,70,79,50,73,-1.13,8,-189.0,38.0,-973.0,14:02:15.464906,192.168.0.115
451,-1,-100,-100,-100,"0,0,0",-6,1,1,-2,0,0,68,70,79,50,73,-0.96,8,-142.0,30.0,-954.0,14:02:15.567912,192.168.0.115
456,-1,-100,-100,-100,"0,0,0",-6,0,1,-2,0,0,68,70,79,50,73,-1.28,8,-186.0,23.0,-1090.0,14:02:15.668902,192.168.0.115
461,-1,-100,-100,-100,"0,0,0",-9,0,1,-1,0,0,68,70,79,50,73,-1.04,8,-97.0,35.0,-877.0,14:02:15.771028,192.168.0.115
466,-1,-100,-100,-100,"0,0,0",-9,0,1,-2,0,0,67,70,81,50,73,-1.15,9,-115.0,23.0,-941.0,14:02:15.873029,192.168.0.115
471,-1,-100,-100,-100,"0,0,0",-9,-2,1,-2,0,0,67,70,81,50,73,-1.05,9,-137.0,29.0,-967.0,14:02:15.975278,192.168.0.115
476,7,-18,5,78,"4,-1,177",-7,-2,2,-2,0,0,67,70,81,50,73,-1.15,9,-154.0,20.0,-1060.0,14:02:16.077044,192.168.0.115
481,7,-18,5,78,"4,-1,177",-8,-1,2,-2,0,0,67,70,81,50,73,-1.02,9,-181.0,19.0,-988.0,14:02:16.183104,192.168.0.115
486,7,-18,5,78,"4,-1,177",-8,0,1,-1,0,0,67,70,81,50,73,-0.91,9,-160.0,33.0,-972.0,14:02:16.280966,192.168.0.115
491,7,-18,5,78,"4,-1,177",-9,-1,1,-1,0,0,67,70,81,50,73,-1.2,9,-147.0,36.0,-1021.0,14:02:16.383995,192.168.0.115
496,7,-7,4,80,"7,-1,174",-8,-1,2,-2,0,0,67,70,82,50,73,-1.09,9,-164.0,57.0,-1031.0,14:02:16.484720,192.168.0.115
501,7,-7,4,80,"7,-1,174",-8,-3,1,-2,0,0,67,70,82,50,73,-1.05,9,-125.0,14.0,-950.0,14:02:16.586811,192.168.0.115
506,7,-7,4,80,"7,-1,174",-6,-1,2,-2,0,0,67,70,81,50,73,-1.15,9,-182.0,47.0,-1017.0,14:02:16.690457,192.168.0.115
511,7,-7,4,80,"7,-1,174",-7,-1,1,-2,0,0,67,70,81,50,73,-1.13,9,-138.0,75.0,-923.0,14:02:16.790917,192.168.0.115
516,7,2,5,81,"10,-1,173",-7,-2,1,-2,0,0,68,70,80,50,73,-0.87,10,-171.0,64.0,-1077.0,14:02:16.892806,192.168.0.115
521,7,2,5,81,"10,-1,173",-9,-4,1,-1,0,0,68,70,82,50,73,-0.97,10,-143.0,-14.0,-1020.0,14:02:16.994845,192.168.0.115
526,7,2,5,81,"10,-1,173",-8,-1,1,-1,0,0,68,70,81,50,73,-0.95,10,-216.0,67.0,-1118.0,14:02:17.098688,192.168.0.115
531,7,2,5,81,"10,-1,173",-8,0,1,-1,0,0,68,70,81,50,73,-1.03,10,-180.0,43.0,-1005.0,14:02:17.198816,192.168.0.115
537,7,9,5,81,"6,-1,171",-8,-1,1,-1,0,0,68,70,80,50,73,-1.32,10,-123.0,81.0,-1004.0,14:02:17.300902,192.168.0.115
542,7,9,5,81,"6,-1,171",-9,-2,1,-1,0,0,68,70,81,50,73,-1.25,10,-128.0,-4.0,-969.0,14:02:17.402836,192.168.0.115
547,7,9,5,81,"6,-1,171",-8,-1,1,-1,0,0,68,70,80,50,73,-1.23,10,-131.0,65.0,-991.0,14:02:17.504687,192.168.0.115
552,7,17,3,81,"9,0,174",-9,0,1,-1,0,0,68,70,79,50,73,-0.75,10,-194.0,40.0,-978.0,14:02:17.606844,192.168.0.115
557,7,17,3,81,"9,0,174",-8,0,0,-1,0,0,68,70,79,50,73,-0.74,10,-210.0,30.0,-987.0,14:02:17.708675,192.168.0.115
562,7,17,3,81,"9,0,174",-8,0,-4,0,0,0,68,70,79,50,73,-0.7,10,-211.0,39.0,-1022.0,14:02:17.810320,192.168.0.115
568,7,17,3,81,"9,0,174",-9,0,-13,0,0,0,67,69,79,50,73,-0.74,11,-159.0,23.0,-997.0,14:02:17.912649,192.168.0.115
572,7,27,8,77,"11,0,171",-9,0,-28,0,0,0,67,69,79,50,73,-0.8,11,-101.0,-84.0,-995.0,14:02:18.014757,192.168.0.115
577,7,27,8,77,"11,0,171",-7,5,-44,-1,0,0,67,69,79,50,73,-1.0,11,-31.0,-92.0,-899.0,14:02:18.117069,192.168.0.115
582,7,27,8,77,"11,0,171",-5,7,-55,-1,0,0,67,69,79,50,73,-0.92,11,-24.0,-74.0,-860.0,14:02:18.218593,192.168.0.115
588,7,27,8,77,"11,0,171",-4,7,-63,-1,0,0,67,69,79,50,73,-0.8,11,-44.0,-105.0,-1038.0,14:02:18.320939,192.168.0.115
593,7,30,5,78,"14,28,174",-4,9,-68,-2,0,0,67,69,78,50,73,-0.76,11,-16.0,-91.0,-928.0,14:02:18.423615,192.168.0.115
596,7,30,5,78,"14,28,174",-1,8,-68,-2,0,0,67,69,78,50,73,-0.66,11,-51.0,-126.0,-959.0,14:02:18.474286,192.168.0.115
601,7,30,5,78,"14,28,174",-2,7,-66,-2,0,0,67,69,78,50,73,-0.94,11,-34.0,-114.0,-926.0,14:02:18.575997,192.168.0.115
606,7,30,5,78,"14,28,174",-3,6,-62,-1,0,0,67,69,78,50,73,-0.6,11,-33.0,-155.0,-941.0,14:02:18.677860,192.168.0.115
611,7,30,5,78,"14,28,174",-5,7,-55,-1,0,0,67,69,79,50,73,-0.49,11,-123.0,-86.0,-1001.0,14:02:18.779795,192.168.0.115
616,7,30,5,78,"14,28,174",-6,6,-48,-1,0,0,67,70,80,50,73,-0.99,12,-96.0,-70.0,-1027.0,14:02:18.881868,192.168.0.115
621,7,30,5,78,"14,28,174",-7,5,-34,-1,0,1,67,70,80,50,73,-0.83,12,-164.0,-48.0,-897.0,14:02:18.984178,192.168.0.115
626,7,30,5,78,"14,28,174",-4,1,-17,-1,-1,0,67,70,80,50,73,-0.73,12,-165.0,53.0,-1037.0,14:02:19.085916,192.168.0.115
631,7,30,5,78,"14,28,174",-2,-2,-4,0,-1,1,67,70,82,50,73,-0.72,12,-222.0,41.0,-1081.0,14:02:19.187769,192.168.0.115
636,7,30,5,78,"14,28,174",-7,-5,3,1,-1,0,67,70,83,50,73,-0.97,12,-155.0,9.0,-925.0,14:02:19.289832,192.168.0.115
641,7,30,5,78,"14,28,174",-9,-3,4,1,0,0,67,70,84,50,73,-0.91,12,-128.0,25.0,-900.0,14:02:19.391449,192.168.0.115
646,7,30,5,78,"14,28,174",-8,-2,4,0,0,0,67,70,83,50,73,-1.02,12,-146.0,27.0,-992.0,14:02:19.493707,192.168.0.115
651,7,30,5,78,"14,28,174",-8,-2,4,0,0,0,67,70,83,50,73,-1.26,12,-23.0,46.0,-969.0,14:02:19.595898,192.168.0.115
656,7,30,5,78,"14,28,174",-7,-1,4,0,0,0,67,70,82,50,73,-1.13,12,-93.0,22.0,-1027.0,14:02:19.697878,192.168.0.115
661,7,30,5,78,"14,28,174",-6,-1,4,0,0,0,67,70,82,50,73,-1.35,12,-89.0,35.0,-1031.0,14:02:19.799759,192.168.0.115
666,7,30,5,78,"14,28,174",-4,-1,4,0,0,0,68,70,80,50,73,-1.29,13,-143.0,40.0,-970.0,14:02:19.901766,192.168.0.115
671,7,30,5,78,"14,28,174",-4,-2,2,0,0,0,68,70,80,50,73,-0.9,13,-136.0,46.0,-928.0,14:02:20.003670,192.168.0.115
676,7,30,5,78,"14,28,174",-7,-4,-1,0,0,0,68,70,80,50,73,-0.84,13,-138.0,19.0,-955.0,14:02:20.105889,192.168.0.115
681,7,30,5,78,"14,28,174",-5,-1,-5,0,0,-1,68,70,78,50,73,-1.1,13,-117.0,-34.0,-817.0,14:02:20.207538,192.168.0.115
686,7,30,5,78,"14,28,174",-8,0,-8,0,0,-3,68,70,75,50,73,-0.49,13,-68.0,-45.0,-746.0,14:02:20.309727,192.168.0.115
691,7,30,5,78,"14,28,174",-6,0,-8,0,0,-4,68,70,69,40,73,-1.21,13,-155.0,-24.0,-896.0,14:02:20.411373,192.168.0.115
696,7,30,5,78,"14,28,174",-6,0,-14,0,0,-5,68,70,64,40,73,-1.31,13,-80.0,-77.0,-1059.0,14:02:20.515234,192.168.0.115
701,7,30,5,78,"14,28,174",-7,1,-26,0,1,-5,68,70,59,30,73,-1.01,13,2.0,-90.0,-950.0,14:02:20.615786,192.168.0.115
706,7,30,5,78,"14,28,174",-4,6,-35,0,2,-5,68,70,53,30,73,-0.93,13,31.0,-85.0,-941.0,14:02:20.717779,192.168.0.115
711,7,30,5,78,"14,28,174",-2,7,-42,-1,2,-5,68,70,48,20,73,-1.2,13,3.0,-115.0,-1031.0,14:02:20.819742,192.168.0.115
717,7,30,5,78,"14,28,174",0,8,-43,-1,2,-4,68,70,43,20,73,-1.6,14,8.0,-63.0,-1027.0,14:02:20.921706,192.168.0.115
721,7,30,5,78,"14,28,174",0,7,-37,-2,2,-5,68,70,37,10,73,-1.47,14,35.0,-47.0,-1019.0,14:02:21.023774,192.168.0.115
726,7,30,5,78,"14,28,174",0,3,-26,-2,1,-4,68,70,32,10,73,-1.43,14,-18.0,14.0,-1064.0,14:02:21.125309,192.168.0.115
