,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
2,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,79,-1.48,0,-3.0,-1.0,-998.0,13:59:28.221226,192.168.0.115
7,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,79,-1.52,0,-2.0,-1.0,-1000.0,13:59:28.324724,192.168.0.115
12,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,79,-1.52,0,-5.0,1.0,-996.0,13:59:28.425704,192.168.0.115
17,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,79,-1.52,0,-9.0,3.0,-1001.0,13:59:28.527560,192.168.0.115
23,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,79,-1.52,0,-4.0,14.0,-1009.0,13:59:28.629647,192.168.0.115
28,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,79,-1.52,0,-48.0,46.0,-1025.0,13:59:28.735982,192.168.0.115
33,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,65,10,0,79,-1.52,0,-9.0,-13.0,-1035.0,13:59:28.833035,192.168.0.115
38,-1,-100,-100,-100,"0,0,0",-1,0,0,0,0,1,63,65,10,0,79,-1.52,0,-7.0,-16.0,-1005.0,13:59:28.935547,192.168.0.115
43,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,3,63,65,10,0,79,-1.52,0,-4.0,-18.0,-1137.0,13:59:29.037680,192.168.0.115
48,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,6,63,65,12,0,79,-1.52,0,7.0,-26.0,-1232.0,13:59:29.139588,192.168.0.115
53,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,7,63,65,20,10,79,-1.26,0,-85.0,-29.0,-1024.0,13:59:29.241491,192.168.0.115
59,-1,-100,-100,-100,"0,0,0",0,1,0,0,0,8,63,65,26,10,79,-1.24,0,-36.0,-49.0,-937.0,13:59:29.343571,192.168.0.115
64,-1,-100,-100,-100,"0,0,0",-1,1,0,1,0,7,63,65,34,20,79,-0.97,1,-119.0,-35.0,-954.0,13:59:29.445514,192.168.0.115
69,-1,-100,-100,-100,"0,0,0",-3,1,0,1,0,7,63,65,44,30,79,-0.94,1,-86.0,-34.0,-886.0,13:59:29.547520,192.168.0.115
74,-1,-100,-100,-100,"0,0,0",-5,4,-1,1,0,6,63,65,52,30,79,-0.62,1,-120.0,-4.0,-847.0,13:59:29.650271,192.168.0.115
75,-1,-100,-100,-100,"0,0,0",-5,2,-1,2,0,5,63,65,58,40,79,-0.72,1,-91.0,-76.0,-853.0,13:59:29.700174,192.168.0.115
80,-1,-100,-100,-100,"0,0,0",-7,1,-1,2,0,3,63,65,64,40,79,-0.65,1,-109.0,-59.0,-834.0,13:59:29.802188,192.168.0.115
85,-1,-100,-100,-100,"0,0,0",-8,3,-1,1,0,2,63,65,67,50,79,-0.77,1,-91.0,-50.0,-960.0,13:59:29.904426,192.168.0.115
91,-1,-100,-100,-100,"0,0,0",-7,3,-1,1,0,1,63,65,70,50,79,-0.85,1,-82.0,-53.0,-932.0,13:59:30.006021,192.168.0.115
97,-1,-100,-100,-100,"0,0,0",-7,4,-1,1,0,1,63,65,72,50,79,-0.83,1,-84.0,16.0,-1071.0,13:59:30.108294,192.168.0.115
102,-1,-100,-100,-100,"0,0,0",-7,1,-1,1,0,1,63,65,75,50,79,-0.83,1,-101.0,-62.0,-1015.0,13:59:30.210384,192.168.0.115
107,-1,-100,-100,-100,"0,0,0",-7,3,-1,0,0,1,63,65,77,50,79,-0.65,1,-71.0,-30.0,-968.0,13:59:30.312280,192.168.0.115
112,-1,-100,-100,-100,"0,0,0",-5,3,-2,0,0,1,63,65,79,50,79,-0.99,2,-93.0,-79.0,-1045.0,13:59:30.414536,192.168.0.115
117,-1,-100,-100,-100,"0,0,0",-4,1,0,0,0,1,63,65,81,60,79,-0.8,2,-128.0,-12.0,-981.0,13:59:30.516316,192.168.0.115
122,-1,-100,-100,-100,"0,0,0",-4,5,0,0,0,0,63,65,82,60,79,-0.89,2,-152.0,17.0,-1036.0,13:59:30.618287,192.168.0.115
128,-1,-100,-100,-100,"0,0,0",-4,2,0,0,-1,0,63,65,84,60,79,-0.95,2,-161.0,-3.0,-980.0,13:59:30.721412,192.168.0.115
132,-1,-100,-100,-100,"0,0,0",-6,0,0,1,-1,0,63,65,86,60,79,-0.67,2,-132.0,-36.0,-1004.0,13:59:30.822285,192.168.0.115
137,-1,-100,-100,-100,"0,0,0",-8,-1,0,0,0,0,63,65,87,60,79,-0.7,2,-118.0,-31.0,-945.0,13:59:30.924172,192.168.0.115
142,-1,-100,-100,-100,"0,0,0",-8,0,0,0,0,0,63,66,88,60,79,-0.97,2,-182.0,5.0,-1010.0,13:59:31.026214,192.168.0.115
147,-1,-100,-100,-100,"0,0,0",-8,2,0,0,0,0,63,66,88,60,79,-0.85,2,-112.0,-14.0,-946.0,13:59:31.128108,192.168.0.115
152,-1,-100,-100,-100,"0,0,0",-9,0,0,0,0,0,63,66,88,60,79,-0.79,2,-72.0,-36.0,-978.0,13:59:31.230202,192.168.0.115
158,-1,-100,-100,-100,"0,0,0",-8,0,0,0,0,0,63,66,88,60,79,-0.86,2,-119.0,2.0,-963.0,13:59:31.332312,192.168.0.115
163,-1,-100,-100,-100,"0,0,0",-6,0,1,0,0,0,63,66,87,60,79,-0.82,3,-110.0,5.0,-1034.0,13:59:31.435112,192.168.0.115
168,-1,-100,-100,-100,"0,0,0",-7,0,0,0,0,0,63,66,87,60,79,-0.97,3,-81.0,21.0,-967.0,13:59:31.536055,192.168.0.115
173,-1,-100,-100,-100,"0,0,0",-7,0,0,0,-1,0,63,66,86,60,79,-0.87,3,-117.0,-4.0,-964.0,13:59:31.638078,192.168.0.115
178,-1,-100,-100,-100,"0,0,0",-6,-1,0,0,0,0,63,66,86,60,79,-0.97,3,-159.0,51.0,-1055.0,13:59:31.740337,192.168.0.115
184,-1,-100,-100,-100,"0,0,0",-7,0,0,0,0,0,63,66,86,60,79,-0.93,3,-138.0,29.0,-995.0,13:59:31.842237,192.168.0.115
189,-1,-100,-100,-100,"0,0,0",-8,-2,0,0,-1,0,63,66,86,60,79,-1.12,3,-148.0,38.0,-1001.0,13:59:31.944113,192.168.0.115
194,-1,-100,-100,-100,"0,0,0",-8,-2,0,0,0,0,63,66,86,60,79,-0.92,3,-83.0,2.0,-958.0,13:59:32.046229,192.168.0.115
199,-1,-100,-100,-100,"0,0,0",-7,-2,0,0,0,0,63,66,85,60,79,-1.07,3,-124.0,24.0,-968.0,13:59:32.148090,192.168.0.115
204,-1,-100,-100,-100,"0,0,0",-7,0,0,0,0,0,63,66,85,60,79,-0.98,3,-118.0,25.0,-959.0,13:59:32.250216,192.168.0.115
209,-1,-100,-100,-100,"0,0,0",-7,0,0,0,0,0,63,66,84,60,79,-0.8,3,-122.0,26.0,-993.0,13:59:32.352152,192.168.0.115
210,-1,-100,-100,-100,"0,0,0",-6,0,0,0,0,0,63,66,83,60,79,-0.72,4,-115.0,-1.0,-931.0,13:59:32.403298,192.168.0.115
216,-1,-100,-100,-100,"0,0,0",-5,-1,0,0,0,0,63,66,82,60,79,-1.02,4,-155.0,-3.0,-1123.0,13:59:32.505312,192.168.0.115
221,-1,-100,-100,-100,"0,0,0",-7,-2,0,0,0,0,63,66,82,60,79,-0.81,4,-144.0,18.0,-965.0,13:59:32.609761,192.168.0.115
227,-1,-100,-100,-100,"0,0,0",-9,-1,0,0,0,0,63,66,84,60,79,-0.89,4,-110.0,-15.0,-945.0,13:59:32.709250,192.168.0.115
232,-1,-100,-100,-100,"0,0,0",-8,0,0,0,0,0,63,66,83,60,79,-0.91,4,-128.0,-39.0,-892.0,13:59:32.811354,192.168.0.115
237,-1,-100,-100,-100,"0,0,0",-7,-3,-1,0,0,0,63,66,82,60,79,-0.91,4,-125.0,-23.0,-996.0,13:59:32.913381,192.168.0.115
242,-1,-100,-100,-100,"0,0,0",-7,0,-1,0,0,0,62,65,82,60,79,-0.92,4,-123.0,20.0,-999.0,13:59:33.015375,192.168.0.115
247,-1,-100,-100,-100,"0,0,0",-7,2,-1,0,0,0,62,65,82,60,79,-0.93,4,-89.0,-42.0,-995.0,13:59:33.117249,192.168.0.115
252,-1,-100,-100,-100,"0,0,0",-7,0,-1,0,0,0,62,65,81,60,79,-1.19,4,-96.0,-81.0,-945.0,13:59:33.219470,192.168.0.115
257,-1,-100,-100,-100,"0,0,0",-6,1,0,-1,1,0,62,65,80,60,79,-1.04,4,-127.0,32.0,-979.0,13:59:33.321074,192.168.0.115
262,-1,-100,-100,-100,"0,0,0",-5,3,0,-1,0,0,62,65,81,60,79,-1.13,5,-148.0,6.0,-1012.0,13:59:33.423268,192.168.0.115
267,-1,-100,-100,-100,"0,0,0",-5,0,0,0,0,0,62,65,81,60,79,-1.07,5,-138.0,29.0,-942.0,13:59:33.525237,192.168.0.115
272,-1,-100,-100,-100,"0,0,0",-6,1,0,0,0,0,62,65,82,60,79,-1.06,5,-96.0,-44.0,-992.0,13:59:33.627383,192.168.0.115
277,-1,-100,-100,-100,"0,0,0",-6,0,0,0,0,0,62,65,82,60,79,-1.16,5,-100.0,22.0,-963.0,13:59:33.729326,192.168.0.115
282,-1,-100,-100,-100,"0,0,0",-6,0,0,0,0,0,62,65,83,60,79,-1.02,5,-125.0,35.0,-1028.0,13:59:33.831390,192.168.0.115
287,-1,-100,-100,-100,"0,0,0",-6,0,0,0,0,0,62,65,83,60,79,-1.15,5,-117.0,13.0,-961.0,13:59:33.933711,192.168.0.115
293,-1,-100,-100,-100,"0,0,0",-5,0,0,0,0,0,63,65,84,60,79,-1.14,5,-67.0,5.0,-966.0,13:59:34.036144,192.168.0.115
297,-1,-100,-100,-100,"0,0,0",-4,-2,0,0,0,0,63,65,84,60,79,-0.84,5,-171.0,29.0,-948.0,13:59:34.136653,192.168.0.115
302,-1,-100,-100,-100,"0,0,0",-6,-2,0,0,0,0,63,65,84,60,79,-1.01,5,-116.0,6.0,-1015.0,13:59:34.239706,192.168.0.115
307,-1,-100,-100,-100,"0,0,0",-8,-1,0,0,0,0,63,65,84,60,79,-0.98,5,-114.0,30.0,-1026.0,13:59:34.340779,192.168.0.115
313,-1,-100,-100,-100,"0,0,0",-8,0,0,0,0,0,63,65,85,60,79,-0.85,6,-123.0,9.0,-944.0,13:59:34.443439,192.168.0.115
318,-1,-100,-100,-100,"0,0,0",-7,-2,0,0,0,0,63,65,85,60,79,-0.95,6,-143.0,-17.0,-1042.0,13:59:34.544839,192.168.0.115
323,-1,-100,-100,-100,"0,0,0",-8,-2,0,0,0,0,63,65,85,60,79,-1.05,6,-165.0,33.0,-1010.0,13:59:34.646985,192.168.0.115
328,-1,-100,-100,-100,"0,0,0",-8,0,0,0,0,0,63,65,85,60,79,-1.15,6,-127.0,-47.0,-962.0,13:59:34.749204,192.168.0.115
334,-1,-100,-100,-100,"0,0,0",-8,-1,0,0,0,0,63,65,85,60,79,-1.18,6,-170.0,26.0,-1002.0,13:59:34.851287,192.168.0.115
339,-1,-100,-100,-100,"0,0,0",-9,0,0,0,0,0,63,65,86,60,79,-1.06,6,-145.0,70.0,-962.0,13:59:34.953217,192.168.0.115
340,-1,-100,-100,-100,"0,0,0",-7,1,0,0,0,0,63,65,85,60,79,-1.02,6,-113.0,-28.0,-1026.0,13:59:35.004169,192.168.0.115
346,-1,-100,-100,-100,"0,0,0",-8,-2,0,0,0,0,63,65,85,60,79,-1.16,6,-119.0,17.0,-935.0,13:59:35.112323,192.168.0.115
352,-1,-100,-100,-100,"0,0,0",-8,0,0,0,0,0,63,65,85,60,79,-1.21,6,-100.0,14.0,-1003.0,13:59:35.207846,192.168.0.115
357,-1,-100,-100,-100,"0,0,0",-7,0,0,0,0,0,63,65,84,60,79,-1.12,6,-123.0,19.0,-1011.0,13:59:35.309845,192.168.0.115
362,-1,-100,-100,-100,"0,0,0",-7,-1,0,0,0,0,63,65,84,60,79,-1.1,7,-100.0,17.0,-946.0,13:59:35.411812,192.168.0.115
367,-1,-100,-100,-100,"0,0,0",-7,-2,0,0,0,0,63,65,85,60,79,-1.12,7,-88.0,-12.0,-969.0,13:59:35.516109,192.168.0.115
372,-1,-100,-100,-100,"0,0,0",-6,-1,0,-1,0,0,63,65,83,60,79,-1.0,7,-72.0,-17.0,-970.0,13:59:35.615726,192.168.0.115
377,-1,-100,-100,-100,"0,0,0",-5,0,0,-1,0,0,63,65,83,60,79,-1.11,7,-83.0,-50.0,-1035.0,13:59:35.717899,192.168.0.115
382,-1,-100,-100,-100,"0,0,0",-5,1,0,-1,0,0,63,65,82,60,79,-1.12,7,-66.0,5.0,-999.0,13:59:35.819855,192.168.0.115
387,-1,-100,-100,-100,"0,0,0",-4,2,0,-1,0,0,63,65,82,60,79,-1.15,7,-114.0,7.0,-994.0,13:59:35.921635,192.168.0.115
392,-1,-100,-100,-100,"0,0,0",-4,0,0,-1,0,0,64,65,82,60,79,-1.09,7,-104.0,-11.0,-1010.0,13:59:36.024498,192.168.0.115
397,-1,-100,-100,-100,"0,0,0",-4,0,0,0,0,0,64,65,82,60,79,-1.1,7,-76.0,13.0,-986.0,13:59:36.125881,192.168.0.115
402,-1,-100,-100,-100,"0,0,0",-4,1,0,0,0,0,64,65,82,60,79,-1.13,7,-93.0,-3.0,-999.0,13:59:36.228221,192.168.0.115
407,-1,-100,-100,-100,"0,0,0",-5,0,0,0,0,0,64,65,82,60,79,-1.12,7,-77.0,13.0,-999.0,13:59:36.329983,192.168.0.115
412,-1,-100,-100,-100,"0,0,0",-5,0,0,0,0,0,64,65,81,60,79,-1.24,8,-121.0,40.0,-998.0,13:59:36.432013,192.168.0.115
417,-1,-100,-100,-100,"0,0,0",-4,0,0,0,0,0,64,65,82,60,79,-1.22,8,-93.0,1.0,-951.0,13:59:36.533819,192.168.0.115
422,7,-33,6,80,"2,-1,177",-5,-1,0,0,0,0,64,65,82,60,79,-1.21,8,-92.0,38.0,-1000.0,13:59:36.636119,192.168.0.115
428,7,-33,6,80,"2,-1,177",-5,-1,0,0,0,0,64,65,82,60,79,-1.24,8,-149.0,9.0,-1119.0,13:59:36.738855,192.168.0.115
432,7,-33,6,80,"2,-1,177",-5,-2,0,0,0,0,64,65,82,60,79,-1.15,8,-140.0,35.0,-1022.0,13:59:36.839782,192.168.0.115
438,7,-33,6,80,"2,-1,177",-6,2,-3,0,0,0,64,65,83,60,79,-1.24,8,-101.0,-1.0,-925.0,13:59:36.941716,192.168.0.115
443,7,-32,3,80,"4,-1,176",-7,0,-5,0,0,0,64,65,83,60,79,-1.12,8,-106.0,-10.0,-959.0,13:59:37.043651,192.168.0.115
448,7,-32,3,80,"4,-1,176",-7,-2,-4,0,0,0,64,65,83,60,79,-1.02,8,-111.0,55.0,-1003.0,13:59:37.145398,192.168.0.115
453,7,-32,3,80,"4,-1,176",-7,0,-1,0,0,0,64,65,83,60,79,-1.07,8,-79.0,-40.0,-949.0,13:59:37.250520,192.168.0.115
458,7,-32,-6,81,"5,5,-174",-5,-3,-1,0,0,0,64,65,82,60,79,-0.88,8,-73.0,-43.0,-991.0,13:59:37.349837,192.168.0.115
463,7,-32,-6,81,"5,5,-174",-6,0,0,0,0,-1,64,65,81,60,79,-0.94,9,-114.0,25.0,-953.0,13:59:37.451874,192.168.0.115
465,7,-32,-6,81,"5,5,-174",-7,3,0,0,0,-1,64,65,80,60,79,-1.11,9,-81.0,4.0,-1071.0,13:59:37.503110,192.168.0.115
470,7,-32,-6,81,"5,5,-174",-8,0,-1,0,0,0,64,65,79,60,79,-1.07,9,-71.0,-22.0,-1043.0,13:59:37.604975,192.168.0.115
475,7,-32,-6,81,"5,5,-174",-7,0,0,-1,0,0,64,65,78,60,79,-1.43,9,-135.0,44.0,-1017.0,13:59:37.707006,192.168.0.115
481,7,-32,-6,81,"5,5,-174",-7,2,0,-1,0,0,64,65,79,60,79,-1.23,9,-108.0,40.0,-1029.0,13:59:37.809032,192.168.0.115
486,7,-32,-6,81,"5,5,-174",-8,0,0,-1,0,0,64,65,79,60,79,-1.64,9,-180.0,4.0,-1111.0,13:59:37.911000,192.168.0.115
491,7,-32,-6,81,"5,5,-174",-9,0,0,-1,0,0,64,66,81,60,79,-1.05,9,-190.0,0.0,-986.0,13:59:38.013785,192.168.0.115
496,7,-32,-6,81,"5,5,-174",-9,0,0,0,0,0,64,66,82,60,79,-1.12,9,-118.0,-2.0,-886.0,13:59:38.115154,192.168.0.115
