,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
0,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,69,73,10,0,90,9.12,0,-5.0,4.0,-999.0,16:41:23.800376,192.168.0.113
4,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,69,73,10,0,90,9.09,0,-3.0,5.0,-1000.0,16:41:23.854092,192.168.0.113
9,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,69,73,10,0,90,9.12,0,-4.0,5.0,-1002.0,16:41:23.953593,192.168.0.113
14,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,69,73,10,0,90,9.13,0,-4.0,6.0,-1001.0,16:41:24.064325,192.168.0.113
19,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,69,73,10,0,90,9.18,0,-4.0,5.0,-999.0,16:41:24.157341,192.168.0.113
24,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,69,73,10,0,90,9.07,0,-3.0,5.0,-1001.0,16:41:24.260339,192.168.0.113
29,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,71,74,10,0,90,9.1,0,-4.0,5.0,-998.0,16:41:24.361348,192.168.0.113
34,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,71,74,10,0,90,9.09,0,-4.0,3.0,-998.0,16:41:24.463384,192.168.0.113
39,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,71,74,10,0,90,9.1,0,-4.0,5.0,-999.0,16:41:24.565364,192.168.0.113
44,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,71,74,10,0,90,9.09,0,-4.0,5.0,-1000.0,16:41:24.727332,192.168.0.113
49,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,71,74,10,0,90,9.13,0,-4.0,5.0,-998.0,16:41:24.790137,192.168.0.113
54,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,71,74,10,0,90,9.09,0,-5.0,6.0,-999.0,16:41:24.875848,192.168.0.113
60,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,71,74,10,0,90,9.16,0,-4.0,4.0,-1002.0,16:41:24.974472,192.168.0.113
64,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,71,74,10,0,90,9.09,0,-5.0,6.0,-999.0,16:41:25.085151,192.168.0.113
70,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,71,74,10,0,90,9.06,0,-5.0,5.0,-1001.0,16:41:25.181534,192.168.0.113
75,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,71,74,10,0,90,9.08,0,-5.0,4.0,-1001.0,16:41:25.280470,192.168.0.113
80,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,73,76,10,0,90,9.06,0,-6.0,5.0,-998.0,16:41:25.382489,192.168.0.113
85,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,73,76,10,0,90,9.1,0,-4.0,4.0,-1001.0,16:41:25.484214,192.168.0.113
90,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,73,76,10,0,90,9.12,0,-4.0,5.0,-1000.0,16:41:25.586256,192.168.0.113
95,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,73,76,10,0,90,9.11,0,-5.0,5.0,-998.0,16:41:25.688327,192.168.0.113
100,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,73,76,10,0,90,9.08,0,-4.0,3.0,-999.0,16:41:25.790374,192.168.0.113
105,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,73,76,10,0,90,9.08,0,-4.0,5.0,-1002.0,16:41:25.892487,192.168.0.113
110,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,73,76,10,0,90,9.08,0,-4.0,2.0,-1000.0,16:41:25.995188,192.168.0.113
115,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,73,76,10,0,90,9.06,0,-4.0,5.0,-997.0,16:41:26.100595,192.168.0.113
120,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,73,76,10,0,90,9.05,0,-4.0,4.0,-1000.0,16:41:26.204474,192.168.0.113
125,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,73,76,10,0,90,9.08,0,-4.0,5.0,-1001.0,16:41:26.302357,192.168.0.113
130,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,74,77,10,0,90,9.11,0,-4.0,5.0,-1000.0,16:41:26.412291,192.168.0.113
135,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,74,77,10,0,90,9.15,0,-4.0,5.0,-999.0,16:41:26.506387,192.168.0.113
140,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,74,77,10,0,90,9.13,0,-4.0,5.0,-998.0,16:41:26.609732,192.168.0.113
