,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
4,-1,-100,-100,-100,"0,0,0",0,0,-54,0,0,0,69,71,10,0,100,-49.19,0,-2.0,0.0,-999.0,12:42:23.782907,192.168.0.114
9,-1,-100,-100,-100,"0,0,0",0,0,-54,0,0,0,69,71,10,0,100,-49.19,0,-1.0,0.0,-997.0,12:42:23.886019,192.168.0.114
14,-1,-100,-100,-100,"0,0,0",0,0,-54,0,0,0,69,71,10,0,100,-49.19,0,-1.0,0.0,-995.0,12:42:23.986843,192.168.0.114
19,-1,-100,-100,-100,"0,0,0",0,0,-54,0,0,0,69,71,10,0,100,-49.19,0,2.0,8.0,-1002.0,12:42:24.088849,192.168.0.114
20,-1,-100,-100,-100,"0,0,0",0,0,-54,0,0,0,69,71,10,0,100,-49.19,0,8.0,-11.0,-1000.0,12:42:24.143933,192.168.0.114
25,-1,-100,-100,-100,"0,0,0",0,0,-54,0,0,0,69,71,10,0,100,-49.19,0,0.0,9.0,-1009.0,12:42:24.245349,192.168.0.114
30,-1,-100,-100,-100,"0,0,0",0,0,-53,0,0,0,69,71,10,0,100,-49.19,0,11.0,-4.0,-1105.0,12:42:24.343969,192.168.0.114
35,-1,-100,-100,-100,"0,0,0",-1,0,-53,0,0,0,69,71,10,0,100,-49.19,0,6.0,16.0,-1281.0,12:42:24.445522,192.168.0.114
40,-1,-100,-100,-100,"0,0,0",0,0,-53,0,0,3,69,71,10,0,100,-49.19,0,53.0,1.0,-1301.0,12:42:24.547911,192.168.0.114
46,-1,-100,-100,-100,"0,0,0",1,0,-53,-1,0,6,70,71,11,0,100,-49.14,0,43.0,3.0,-1123.0,12:42:24.649920,192.168.0.114
51,-1,-100,-100,-100,"0,0,0",2,0,-53,-1,0,7,70,71,20,0,100,-48.82,0,63.0,27.0,-1054.0,12:42:24.752594,192.168.0.114
57,-1,-100,-100,-100,"0,0,0",2,-1,-53,-1,0,8,70,71,29,10,100,-48.66,0,74.0,-9.0,-1006.0,12:42:24.853793,192.168.0.114
62,-1,-100,-100,-100,"0,0,0",3,0,-53,0,0,7,70,71,37,10,100,-48.66,1,57.0,33.0,-921.0,12:42:24.955990,192.168.0.114
67,-1,-100,-100,-100,"0,0,0",4,-1,-53,-1,0,7,70,71,45,20,100,-48.54,1,90.0,-8.0,-921.0,12:42:25.058666,192.168.0.114
72,-1,-100,-100,-100,"0,0,0",4,-2,-53,-1,0,6,70,71,54,30,100,-48.49,1,75.0,14.0,-904.0,12:42:25.159831,192.168.0.114
77,-1,-100,-100,-100,"0,0,0",5,-1,-53,0,1,4,70,71,60,30,100,-48.55,1,53.0,5.0,-867.0,12:42:25.261945,192.168.0.114
82,-1,-100,-100,-100,"0,0,0",5,-1,-53,0,1,3,70,71,67,30,100,-48.46,1,83.0,7.0,-904.0,12:42:25.363897,192.168.0.114
87,-1,-100,-100,-100,"0,0,0",5,0,-53,0,0,2,70,71,71,40,100,-48.42,1,59.0,16.0,-909.0,12:42:25.465826,192.168.0.114
92,-1,-100,-100,-100,"0,0,0",5,0,-53,0,0,1,70,71,75,40,100,-48.38,1,76.0,7.0,-936.0,12:42:25.567465,192.168.0.114
97,-1,-100,-100,-100,"0,0,0",5,0,-53,0,0,1,70,71,79,40,100,-48.26,1,62.0,-10.0,-947.0,12:42:25.670169,192.168.0.114
102,-1,-100,-100,-100,"0,0,0",4,0,-53,0,0,0,70,71,82,40,100,-48.29,1,52.0,-7.0,-962.0,12:42:25.771759,192.168.0.114
108,-1,-100,-100,-100,"0,0,0",4,0,-53,0,0,0,70,71,84,40,100,-48.27,1,63.0,-1.0,-969.0,12:42:25.873888,192.168.0.114
113,-1,-100,-100,-100,"0,0,0",4,0,-53,0,0,0,70,71,86,40,100,-48.24,2,47.0,9.0,-983.0,12:42:25.976022,192.168.0.114
118,-1,-100,-100,-100,"0,0,0",3,0,-53,0,0,0,70,71,88,50,100,-48.17,2,49.0,-14.0,-983.0,12:42:26.079125,192.168.0.114
124,-1,-100,-100,-100,"0,0,0",3,0,-53,0,0,0,70,71,89,50,100,-48.21,2,44.0,4.0,-963.0,12:42:26.179892,192.168.0.114
129,-1,-100,-100,-100,"0,0,0",3,1,-52,0,0,0,70,71,90,50,100,-48.15,2,44.0,-5.0,-968.0,12:42:26.281767,192.168.0.114
134,-1,-100,-100,-100,"0,0,0",3,0,-52,0,0,0,70,71,92,50,100,-48.15,2,42.0,-9.0,-980.0,12:42:26.385094,192.168.0.114
139,-1,-100,-100,-100,"0,0,0",2,0,-52,0,0,0,70,71,92,50,100,-48.2,2,83.0,3.0,-984.0,12:42:26.485832,192.168.0.114
144,-1,-100,-100,-100,"0,0,0",2,0,-52,0,0,0,70,71,92,50,100,-48.19,2,77.0,-2.0,-974.0,12:42:26.588332,192.168.0.114
145,-1,-100,-100,-100,"0,0,0",2,0,-52,0,0,0,70,71,92,50,100,-48.13,2,70.0,12.0,-970.0,12:42:26.638832,192.168.0.114
150,-1,-100,-100,-100,"0,0,0",3,0,-52,0,0,0,70,71,93,50,100,-48.19,2,54.0,25.0,-960.0,12:42:26.740922,192.168.0.114
155,-1,-100,-100,-100,"0,0,0",3,0,-52,0,0,0,70,71,93,50,100,-48.12,2,76.0,-1.0,-1005.0,12:42:26.842919,192.168.0.114
160,-1,-100,-100,-100,"0,0,0",3,0,-52,0,0,0,70,71,92,50,100,-48.12,3,77.0,-10.0,-985.0,12:42:26.945832,192.168.0.114
165,-1,-100,-100,-100,"0,0,0",3,0,-52,0,0,0,70,71,92,50,100,-48.22,3,43.0,5.0,-981.0,12:42:27.047342,192.168.0.114
171,-1,-100,-100,-100,"0,0,0",3,0,-52,0,0,0,70,71,91,50,100,-48.18,3,63.0,6.0,-985.0,12:42:27.148733,192.168.0.114
