,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
0,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,62,65,10,0,100,-6.49,0,0.0,-4.0,-1001.0,13:58:07.972633,192.168.0.113
5,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,62,65,10,0,100,-6.52,0,0.0,-3.0,-1000.0,13:58:08.074558,192.168.0.113
10,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,62,65,10,0,100,-6.52,0,0.0,0.0,-999.0,13:58:08.176722,192.168.0.113
15,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,62,65,10,0,100,-6.52,0,1.0,-4.0,-999.0,13:58:08.281317,192.168.0.113
21,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,62,65,10,0,100,-6.52,0,5.0,5.0,-996.0,13:58:08.380985,192.168.0.113
27,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,62,65,10,0,100,-6.52,0,-25.0,12.0,-996.0,13:58:08.482874,192.168.0.113
32,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,62,65,10,0,100,-6.52,0,49.0,-38.0,-1071.0,13:58:08.584206,192.168.0.113
38,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,1,62,65,10,0,100,-6.52,0,-22.0,19.0,-1034.0,13:58:08.686676,192.168.0.113
43,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,4,62,65,10,0,100,-6.52,0,11.0,9.0,-1137.0,13:58:08.788929,192.168.0.113
48,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,7,62,65,12,0,100,-6.46,0,-6.0,11.0,-1107.0,13:58:08.890471,192.168.0.113
53,-1,-100,-100,-100,"0,0,0",1,0,0,0,0,8,62,65,21,10,100,-6.18,0,3.0,35.0,-1016.0,13:58:08.992731,192.168.0.113
58,-1,-100,-100,-100,"0,0,0",1,0,0,0,0,8,62,65,29,20,100,-5.95,0,5.0,23.0,-940.0,13:58:09.094606,192.168.0.113
63,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,7,62,65,36,20,100,-5.89,1,2.0,39.0,-863.0,13:58:09.196651,192.168.0.113
68,-1,-100,-100,-100,"0,0,0",0,-1,0,0,0,6,62,65,44,30,100,-5.76,1,16.0,50.0,-886.0,13:58:09.298779,192.168.0.113
73,-1,-100,-100,-100,"0,0,0",0,-2,0,0,0,5,62,65,50,40,100,-5.88,1,2.0,44.0,-915.0,13:58:09.400601,192.168.0.113
78,-1,-100,-100,-100,"0,0,0",0,-2,0,0,-1,4,62,65,56,40,100,-5.71,1,-10.0,40.0,-871.0,13:58:09.503120,192.168.0.113
83,-1,-100,-100,-100,"0,0,0",0,-3,-1,0,-1,3,62,65,60,40,100,-5.72,1,5.0,20.0,-919.0,13:58:09.604485,192.168.0.113
88,-1,-100,-100,-100,"0,0,0",0,-3,-1,0,0,2,62,65,64,50,100,-5.63,1,0.0,61.0,-969.0,13:58:09.706702,192.168.0.113
93,-1,-100,-100,-100,"0,0,0",0,-4,0,0,0,1,62,65,67,50,100,-5.62,1,-16.0,30.0,-955.0,13:58:09.808901,192.168.0.113
98,-1,-100,-100,-100,"0,0,0",0,-4,0,0,0,1,62,65,69,50,100,-5.58,1,21.0,23.0,-986.0,13:58:09.910779,192.168.0.113
104,-1,-100,-100,-100,"0,0,0",0,-2,0,0,0,1,63,66,71,50,100,-5.63,1,34.0,35.0,-987.0,13:58:10.012848,192.168.0.113
109,-1,-100,-100,-100,"0,0,0",1,-3,0,0,0,1,63,66,74,50,100,-5.54,1,-14.0,50.0,-1048.0,13:58:10.114816,192.168.0.113
114,-1,-100,-100,-100,"0,0,0",0,-2,0,0,0,1,63,66,76,60,100,-5.54,2,-4.0,21.0,-1066.0,13:58:10.216608,192.168.0.113
115,-1,-100,-100,-100,"0,0,0",0,-2,0,0,0,1,63,66,78,60,100,-5.56,2,-5.0,22.0,-979.0,13:58:10.267816,192.168.0.113
120,-1,-100,-100,-100,"0,0,0",0,-2,0,0,0,1,63,66,80,60,100,-5.35,2,39.0,16.0,-970.0,13:58:10.371022,192.168.0.113
125,-1,-100,-100,-100,"0,0,0",0,-1,0,0,0,0,63,66,82,60,100,-5.49,2,11.0,71.0,-932.0,13:58:10.471650,192.168.0.113
130,-1,-100,-100,-100,"0,0,0",0,-2,0,0,0,0,63,66,83,60,100,-5.47,2,-7.0,52.0,-987.0,13:58:10.573752,192.168.0.113
135,-1,-100,-100,-100,"0,0,0",1,-3,0,0,0,0,63,66,84,60,100,-5.53,2,24.0,24.0,-976.0,13:58:10.677663,192.168.0.113
140,-1,-100,-100,-100,"0,0,0",1,-2,0,0,0,0,63,66,85,60,100,-5.47,2,21.0,43.0,-1014.0,13:58:10.777902,192.168.0.113
145,-1,-100,-100,-100,"0,0,0",1,-2,0,0,0,0,63,66,86,70,100,-5.5,2,16.0,26.0,-978.0,13:58:10.879834,192.168.0.113
152,-1,-100,-100,-100,"0,0,0",1,-3,0,0,0,0,63,65,86,70,100,-5.44,2,28.0,34.0,-965.0,13:58:10.982267,192.168.0.113
157,-1,-100,-100,-100,"0,0,0",1,-2,0,0,0,0,63,65,87,70,100,-5.42,2,14.0,16.0,-994.0,13:58:11.083827,192.168.0.113
162,-1,-100,-100,-100,"0,0,0",1,-2,0,0,0,0,63,65,87,70,100,-5.42,3,9.0,28.0,-971.0,13:58:11.185580,192.168.0.113
168,-1,-100,-100,-100,"0,0,0",1,-2,0,0,0,0,63,65,87,70,100,-5.42,3,16.0,22.0,-991.0,13:58:11.287571,192.168.0.113
173,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,0,63,65,87,70,100,-5.52,3,22.0,27.0,-961.0,13:58:11.390355,192.168.0.113
178,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,0,63,65,87,70,100,-5.48,3,5.0,3.0,-982.0,13:58:11.491856,192.168.0.113
183,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,0,63,65,86,70,100,-5.47,3,30.0,8.0,-1012.0,13:58:11.594052,192.168.0.113
188,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,0,63,65,86,70,100,-5.46,3,49.0,1.0,-987.0,13:58:11.695835,192.168.0.113
193,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,0,63,65,86,70,100,-5.52,3,39.0,25.0,-987.0,13:58:11.905663,192.168.0.113
198,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,0,63,65,85,70,100,-5.59,3,27.0,29.0,-1007.0,13:58:11.906627,192.168.0.113
203,-1,-100,-100,-100,"0,0,0",2,-1,0,0,0,0,63,66,85,70,100,-5.56,3,15.0,22.0,-1002.0,13:58:12.124331,192.168.0.113
208,-1,-100,-100,-100,"0,0,0",2,-1,0,0,0,0,63,66,84,70,100,-5.52,3,14.0,0.0,-1027.0,13:58:12.125233,192.168.0.113
213,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,0,63,66,83,70,100,-5.55,4,6.0,9.0,-1004.0,13:58:12.330676,192.168.0.113
218,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,0,63,66,83,70,100,-5.61,4,-6.0,11.0,-995.0,13:58:12.331694,192.168.0.113
223,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,0,63,66,83,70,100,-5.54,4,1.0,25.0,-988.0,13:58:12.409763,192.168.0.113
229,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,0,63,66,82,70,100,-5.38,4,8.0,15.0,-996.0,13:58:12.511783,192.168.0.113
234,-1,-100,-100,-100,"0,0,0",0,-1,0,0,0,0,63,66,83,70,100,-5.38,4,27.0,17.0,-1021.0,13:58:12.738843,192.168.0.113
239,-1,-100,-100,-100,"0,0,0",0,-1,0,0,0,0,63,66,82,70,100,-5.56,4,51.0,36.0,-962.0,13:58:12.739786,192.168.0.113
240,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,63,66,82,70,100,-5.49,4,9.0,11.0,-1011.0,13:58:12.766836,192.168.0.113
245,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,0,63,66,82,70,100,-5.52,4,30.0,6.0,-1009.0,13:58:12.943439,192.168.0.113
250,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,0,63,66,82,70,100,-5.59,4,23.0,10.0,-1011.0,13:58:12.972041,192.168.0.113
255,-1,-100,-100,-100,"0,0,0",1,-1,0,0,0,0,63,66,82,60,100,-5.62,4,17.0,15.0,-1001.0,13:58:13.150149,192.168.0.113
