Unnamed: 0,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address,global_x,global_y
2,-2,-200,-200,-200,"0,0,0",0,0,1,0,0,0,75,77,10,0,85,-53.52,0,3.0,0.0,-999.0,14:13:44.091769,192.168.0.112,,
7,-2,-200,-200,-200,"0,0,0",0,0,1,0,0,0,75,77,10,0,85,-53.53,0,3.0,0.0,-1000.0,14:13:44.193998,192.168.0.112,,
13,-2,-200,-200,-200,"0,0,0",0,0,1,0,0,0,75,77,10,0,85,-53.49,0,3.0,1.0,-1000.0,14:13:44.304274,192.168.0.112,,
18,-2,-200,-200,-200,"0,0,0",0,0,1,0,0,0,75,77,10,0,85,-53.51,0,3.0,0.0,-998.0,14:13:44.398167,192.168.0.112,,
24,-2,-200,-200,-200,"0,0,0",0,0,1,0,0,0,75,77,10,0,85,-53.51,0,4.0,0.0,-997.0,14:13:44.499983,192.168.0.112,,
29,-2,-200,-200,-200,"0,0,0",0,0,1,0,0,0,75,77,10,0,85,-53.51,0,-7.0,10.0,-1006.0,14:13:44.601848,192.168.0.112,,
34,-2,-200,-200,-200,"0,0,0",0,0,1,0,0,0,75,77,10,0,85,-53.51,0,9.0,-1.0,-1006.0,14:13:44.704306,192.168.0.112,,
39,-2,-200,-200,-200,"0,0,0",0,0,2,0,0,0,75,77,10,0,85,-53.51,0,0.0,9.0,-1062.0,14:13:44.805717,192.168.0.112,,
44,-2,-200,-200,-200,"0,0,0",-1,0,2,0,0,1,75,77,10,0,85,-53.51,0,13.0,-1.0,-1191.0,14:13:44.908332,192.168.0.112,,
49,-2,-200,-200,-200,"0,0,0",0,0,2,0,0,3,75,77,10,0,85,-53.51,0,23.0,-9.0,-1397.0,14:13:45.010765,192.168.0.112,,
54,-2,-200,-200,-200,"0,0,0",0,0,2,0,0,6,75,77,11,0,85,-53.51,0,-11.0,0.0,-1175.0,14:13:45.113087,192.168.0.112,,
58,-2,-200,-200,-200,"0,0,0",1,0,2,0,0,8,75,77,20,10,85,-53.19,0,-5.0,1.0,-1062.0,14:13:45.214621,192.168.0.112,,
64,-2,-200,-200,-200,"0,0,0",0,0,2,0,0,8,75,77,28,20,85,-53.11,0,2.0,11.0,-1003.0,14:13:45.317845,192.168.0.112,,
68,-2,-200,-200,-200,"0,0,0",0,0,2,0,0,8,75,77,36,30,85,-53.09,1,23.0,-9.0,-938.0,14:13:45.420270,192.168.0.112,,
74,-2,-200,-200,-200,"0,0,0",0,0,2,0,0,7,75,77,44,30,85,-52.91,1,9.0,0.0,-901.0,14:13:45.522154,192.168.0.112,,
79,-2,-200,-200,-200,"0,0,0",0,0,2,0,0,6,75,77,51,40,85,-52.9,1,10.0,-2.0,-887.0,14:13:45.621593,192.168.0.112,,
84,-2,-200,-200,-200,"0,0,0",0,0,2,0,0,5,75,77,57,40,85,-52.85,1,10.0,-8.0,-885.0,14:13:45.723828,192.168.0.112,,
85,-2,-200,-200,-200,"0,0,0",0,0,2,0,0,4,75,77,63,50,85,-52.78,1,17.0,1.0,-895.0,14:13:45.776091,192.168.0.112,,
90,-2,-200,-200,-200,"0,0,0",0,0,2,0,0,3,75,77,66,50,85,-52.78,1,0.0,1.0,-921.0,14:13:45.877071,192.168.0.112,,
95,-2,-200,-200,-200,"0,0,0",0,0,2,0,0,2,75,77,69,50,85,-52.74,1,9.0,1.0,-932.0,14:13:45.979062,192.168.0.112,,
101,-2,-200,-200,-200,"0,0,0",0,0,2,0,0,1,75,77,71,60,85,-52.69,1,15.0,-8.0,-949.0,14:13:46.081071,192.168.0.112,,
107,2,24,-2,55,"1,-4,-179",0,0,2,0,0,1,75,77,73,60,85,-52.66,1,18.0,-4.0,-935.0,14:13:46.182939,192.168.0.112,24.0,148.0
111,2,24,-2,55,"1,-4,-179",0,0,2,0,0,0,75,77,74,60,85,-52.66,1,-4.0,11.0,-966.0,14:13:46.284997,192.168.0.112,24.0,148.0
117,2,24,-2,55,"1,-4,-179",0,0,2,0,0,0,75,77,75,60,85,-52.71,2,23.0,-4.0,-985.0,14:13:46.386980,192.168.0.112,24.0,148.0
121,2,24,-2,55,"1,-4,-179",0,0,2,0,0,0,75,77,76,60,84,-52.68,2,-1.0,-1.0,-987.0,14:13:46.490032,192.168.0.112,24.0,148.0
127,2,24,-2,55,"1,-4,-179",0,0,2,0,0,0,75,77,77,60,84,-52.62,2,17.0,9.0,-987.0,14:13:46.591009,192.168.0.112,24.0,148.0
132,2,24,-1,68,"0,-4,-179",0,0,2,0,0,0,75,77,78,60,84,-52.53,2,11.0,-6.0,-991.0,14:13:46.692943,192.168.0.112,24.0,149.0
138,2,24,-1,68,"0,-4,-179",0,0,2,0,0,0,75,77,79,60,84,-52.56,2,5.0,2.0,-1006.0,14:13:46.796000,192.168.0.112,24.0,149.0
143,2,24,-1,68,"0,-4,-179",1,0,2,0,0,0,75,77,80,70,84,-52.59,2,20.0,-8.0,-987.0,14:13:46.897591,192.168.0.112,24.0,149.0
148,2,24,-1,68,"0,-4,-179",1,0,2,0,0,0,75,77,80,70,84,-52.56,2,1.0,-6.0,-986.0,14:13:46.999078,192.168.0.112,24.0,149.0
153,2,24,0,73,"0,-4,-179",0,0,2,0,0,0,75,77,81,70,84,-52.56,2,27.0,-21.0,-988.0,14:13:47.100878,192.168.0.112,24.0,150.0
159,2,24,0,73,"0,-4,-179",0,0,2,0,0,0,75,77,81,70,84,-52.55,2,8.0,4.0,-991.0,14:13:47.202913,192.168.0.112,24.0,150.0
164,2,24,0,73,"0,-4,-179",0,0,2,0,0,0,75,77,82,70,84,-52.61,2,-1.0,14.0,-992.0,14:13:47.304807,192.168.0.112,24.0,150.0
168,2,24,0,73,"0,-4,-179",0,0,2,0,0,0,75,77,82,70,84,-52.47,3,17.0,-5.0,-997.0,14:13:47.407153,192.168.0.112,24.0,150.0
