,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
0,-1,-100,-100,-100,"-1,-1,-1",0,0,-151,0,0,0,88,91,6553,0,86,-103.05,0,3.0,0.0,-1000.0,14:07:43.952610,192.168.0.114
1,-1,-100,-100,-100,"-1,-1,-1",0,0,-151,0,0,0,88,91,6553,0,86,-103.09,0,3.0,-1.0,-1001.0,14:07:44.054596,192.168.0.114
2,-1,-100,-100,-100,"-1,-1,-1",0,0,-151,0,0,0,88,91,6553,0,86,-103.11,0,4.0,0.0,-996.0,14:07:44.156585,192.168.0.114
3,-1,-100,-100,-100,"-1,-1,-1",0,0,-151,0,0,0,88,91,6553,0,86,-103.09,0,6.0,0.0,-999.0,14:07:44.258713,192.168.0.114
4,-1,-100,-100,-100,"-1,-1,-1",0,0,-151,0,0,0,88,91,6553,0,86,-103.1,0,-2.0,2.0,-1002.0,14:07:44.360689,192.168.0.114
5,-1,-100,-100,-100,"-1,-1,-1",0,0,-151,0,0,0,88,91,6553,0,86,-103.1,0,-1.0,0.0,-1003.0,14:07:44.463179,192.168.0.114
6,-1,-100,-100,-100,"-1,-1,-1",0,0,-151,0,0,0,88,91,6553,0,86,-103.1,0,9.0,-15.0,-1002.0,14:07:44.514913,192.168.0.114
7,-1,-100,-100,-100,"-1,-1,-1",0,0,-151,0,0,0,88,91,6553,0,86,-103.1,0,-17.0,20.0,-1008.0,14:07:44.616885,192.168.0.114
8,-1,-100,-100,-100,"-1,-1,-1",0,0,-151,0,0,0,88,91,10,0,86,-103.1,0,19.0,12.0,-1152.0,14:07:44.824524,192.168.0.114
9,-1,-100,-100,-100,"-1,-1,-1",0,0,-150,0,0,-1,88,91,10,0,86,-103.1,0,-1.0,12.0,-1374.0,14:07:44.824739,192.168.0.114
10,-1,-100,-100,-100,"-1,-1,-1",0,0,-150,0,0,-5,88,91,10,0,86,-103.1,0,-4.0,3.0,-1281.0,14:07:44.921605,192.168.0.114
11,-1,-100,-100,-100,"-1,-1,-1",0,0,-150,0,0,-7,88,91,14,10,86,-102.84,0,2.0,3.0,-1105.0,14:07:45.132159,192.168.0.114
12,-1,-100,-100,-100,"-1,-1,-1",0,0,-150,0,0,-8,88,91,25,10,86,-102.72,0,-15.0,3.0,-1029.0,14:07:45.132370,192.168.0.114
13,-1,-100,-100,-100,"-1,-1,-1",0,0,-150,0,0,-8,88,91,34,20,86,-102.6,0,9.0,-5.0,-963.0,14:07:45.227551,192.168.0.114
14,-1,-100,-100,-100,"-1,-1,-1",0,0,-150,0,0,-8,88,91,42,30,86,-102.54,1,-8.0,9.0,-908.0,14:07:45.438928,192.168.0.114
15,4,0,-2,45,"0,-1,178",0,0,-150,0,0,-7,88,91,50,40,86,-102.51,1,6.0,0.0,-896.0,14:07:45.439165,192.168.0.114
16,4,0,-2,49,"0,-1,178",0,0,-150,0,0,-6,88,91,55,50,86,-102.38,1,-14.0,11.0,-861.0,14:07:45.533500,192.168.0.114
17,4,0,-3,56,"1,0,179",0,0,-150,0,0,-5,88,91,61,50,86,-102.27,1,10.0,8.0,-883.0,14:07:45.747305,192.168.0.114
18,4,0,-3,63,"1,0,178",0,0,-151,0,0,-4,88,91,65,60,86,-102.27,1,-1.0,-3.0,-900.0,14:07:45.747652,192.168.0.114
19,4,0,-4,65,"0,0,178",0,0,-151,0,0,-3,88,91,68,60,86,-102.21,1,17.0,0.0,-901.0,14:07:45.840032,192.168.0.114
20,4,-1,-3,69,"1,0,177",0,-1,-150,0,0,-2,88,91,70,60,86,-102.15,1,-3.0,6.0,-915.0,14:07:46.052969,192.168.0.114
21,4,0,-4,70,"2,0,177",0,0,-151,0,0,-1,88,91,71,70,86,-102.17,1,8.0,9.0,-963.0,14:07:46.053207,192.168.0.114
22,4,0,-3,71,"2,0,177",0,0,-151,0,0,-1,88,91,72,70,86,-102.14,1,0.0,-12.0,-973.0,14:07:46.145424,192.168.0.114
23,4,-1,-4,72,"2,0,177",0,0,-151,0,0,0,88,91,72,70,86,-102.09,1,18.0,-2.0,-989.0,14:07:46.249809,192.168.0.114
24,4,-1,-3,73,"2,0,177",0,0,-151,0,0,0,88,91,72,70,85,-102.12,2,-5.0,-1.0,-1000.0,14:07:46.352369,192.168.0.114
25,4,-1,-4,73,"2,0,178",0,0,-151,0,0,0,88,91,72,70,85,-102.12,2,13.0,7.0,-1005.0,14:07:46.451609,192.168.0.114
26,4,-2,-3,73,"2,0,178",0,0,-151,0,0,0,88,91,72,70,85,-102.17,2,3.0,-5.0,-985.0,14:07:46.555080,192.168.0.114
27,4,-1,-4,73,"2,0,178",0,0,-151,0,0,0,88,91,72,70,85,-102.15,2,-3.0,-2.0,-1010.0,14:07:46.655478,192.168.0.114
28,4,-2,-3,73,"2,0,178",0,0,-151,0,0,0,88,91,73,70,85,-102.07,2,-8.0,4.0,-1014.0,14:07:46.757417,192.168.0.114
29,4,-2,-3,74,"2,0,178",0,0,-151,0,0,0,88,91,73,70,85,-102.1,2,-7.0,7.0,-993.0,14:07:46.859370,192.168.0.114
30,4,-3,-3,74,"1,0,177",0,0,-151,0,0,0,88,91,73,70,85,-102.08,2,-11.0,5.0,-1010.0,14:07:46.961376,192.168.0.114
31,4,-2,-3,74,"2,0,177",0,0,-151,0,0,0,88,91,74,70,85,-102.12,2,-2.0,15.0,-1009.0,14:07:47.063438,192.168.0.114
32,4,-1,-3,75,"3,0,177",0,0,-151,0,0,0,88,91,74,70,85,-102.12,2,-17.0,2.0,-1001.0,14:07:47.165324,192.168.0.114
33,4,-2,-3,75,"2,0,177",0,0,-151,0,0,0,88,91,75,70,85,-102.05,2,-2.0,4.0,-1012.0,14:07:47.267459,192.168.0.114
34,4,-2,-3,76,"2,0,177",0,0,-151,0,0,0,88,91,75,70,85,-102.14,3,4.0,4.0,-1011.0,14:07:47.369453,192.168.0.114
35,4,-2,-4,76,"1,0,178",0,0,-151,0,0,0,88,91,75,70,85,-102.11,3,-4.0,10.0,-977.0,14:07:47.420533,192.168.0.114
36,4,-2,-4,76,"2,0,178",0,0,-151,0,0,0,88,91,76,70,85,-102.04,3,0.0,-1.0,-988.0,14:07:47.522658,192.168.0.114
37,4,-2,-3,77,"1,0,178",0,0,-151,0,0,0,89,91,76,70,85,-102.05,3,6.0,-3.0,-1020.0,14:07:47.795799,192.168.0.114
38,4,-2,-4,77,"1,0,178",0,0,-151,0,0,0,89,91,77,70,85,-102.02,3,9.0,4.0,-1016.0,14:07:47.795982,192.168.0.114
39,4,-2,-3,78,"1,0,178",0,0,-151,0,0,0,89,91,77,70,85,-102.06,3,-14.0,10.0,-996.0,14:07:47.879313,192.168.0.114
40,4,-1,-2,78,"2,0,177",0,0,-151,0,0,0,89,91,78,70,85,-102.06,3,18.0,0.0,-1012.0,14:07:47.981620,192.168.0.114
41,4,-1,-4,79,"2,0,178",0,0,-151,0,0,0,89,91,78,70,85,-102.04,3,-4.0,6.0,-993.0,14:07:48.203943,192.168.0.114
42,4,-1,-3,80,"2,0,177",0,0,-151,0,0,0,89,91,79,70,85,-102.05,3,-8.0,13.0,-979.0,14:07:48.204127,192.168.0.114
43,4,-1,-4,80,"2,0,178",0,0,-151,0,0,0,89,91,80,80,85,-102.04,3,-12.0,-11.0,-1000.0,14:07:48.236705,192.168.0.114
44,4,-1,-2,81,"2,0,177",0,0,-151,0,0,0,89,91,80,80,85,-102.07,4,-18.0,-1.0,-974.0,14:07:48.338528,192.168.0.114
45,4,-1,-3,81,"2,0,177",0,0,-151,0,0,0,89,91,80,80,85,-102.08,4,-2.0,0.0,-997.0,14:07:48.510916,192.168.0.114
46,4,-1,-4,81,"2,0,178",0,0,-151,0,0,0,89,91,80,80,85,-102.06,4,1.0,1.0,-990.0,14:07:48.544280,192.168.0.114
47,4,0,-4,82,"2,0,179",0,0,-151,0,0,0,88,91,81,80,85,-102.07,4,2.0,12.0,-1012.0,14:07:48.644762,192.168.0.114
48,4,-1,-4,82,"1,0,178",0,0,-151,0,0,0,88,91,81,80,85,-102.02,4,5.0,-3.0,-1002.0,14:07:48.746548,192.168.0.114
49,4,-5,-3,82,"0,0,178",0,0,-151,0,0,0,88,91,81,80,85,-102.04,4,-4.0,-4.0,-997.0,14:07:48.848606,192.168.0.114
50,4,-5,-2,82,"-1,0,177",0,0,-151,0,0,0,88,91,81,80,85,-102.02,4,11.0,4.0,-1008.0,14:07:48.950562,192.168.0.114
51,4,-1,-3,82,"1,0,178",0,0,-151,0,0,0,88,91,81,80,85,-102.08,4,3.0,1.0,-1007.0,14:07:49.052523,192.168.0.114
52,4,-1,-3,82,"2,0,178",0,0,-151,0,0,0,88,91,81,80,85,-102.03,4,-8.0,1.0,-984.0,14:07:49.154950,192.168.0.114
53,4,-1,-3,82,"2,0,178",0,0,-151,0,0,0,88,91,81,80,85,-102.01,4,18.0,5.0,-1014.0,14:07:49.329682,192.168.0.114
54,4,-1,-4,82,"2,0,178",0,0,-151,0,0,0,88,91,80,80,85,-101.96,5,-8.0,6.0,-1005.0,14:07:49.358661,192.168.0.114
55,4,-1,-3,82,"1,0,178",0,0,-151,0,0,0,88,91,80,80,85,-101.99,5,6.0,2.0,-996.0,14:07:49.461304,192.168.0.114
56,4,-1,-3,82,"2,0,177",0,0,-151,0,0,0,88,91,80,80,85,-101.98,5,-1.0,7.0,-1021.0,14:07:49.563343,192.168.0.114
57,4,-1,-2,82,"2,0,177",0,0,-151,0,0,0,88,90,81,80,85,-102.02,5,9.0,0.0,-1000.0,14:07:49.665142,192.168.0.114
58,4,-1,-2,82,"2,0,177",0,0,-151,0,0,0,88,90,80,80,85,-102.03,5,2.0,3.0,-1000.0,14:07:49.767387,192.168.0.114
59,4,-1,-3,82,"2,0,178",0,0,-151,0,0,0,88,90,81,80,85,-102.09,5,4.0,2.0,-1004.0,14:07:49.869217,192.168.0.114
60,4,-1,-3,82,"2,0,178",-1,0,-151,0,0,0,88,90,81,80,85,-102.06,5,0.0,6.0,-940.0,14:07:49.971245,192.168.0.114
61,4,0,-2,81,"4,0,178",-1,0,-151,0,0,0,88,90,80,80,85,-102.06,5,9.0,2.0,-986.0,14:07:50.073330,192.168.0.114
62,4,0,-2,81,"4,0,178",0,0,-151,0,0,0,88,90,79,70,85,-102.05,5,-6.0,7.0,-975.0,14:07:50.175273,192.168.0.114
63,4,0,-2,81,"4,0,178",0,0,-151,0,0,1,88,90,78,70,85,-102.06,6,-10.0,13.0,-992.0,14:07:50.277318,192.168.0.114
64,4,0,-5,79,"3,0,179",0,0,-151,0,0,1,88,90,77,70,85,-102.18,6,-13.0,8.0,-1013.0,14:07:50.379775,192.168.0.114
65,4,0,-5,79,"3,0,179",0,0,-151,0,0,1,88,90,77,70,85,-102.09,6,-6.0,7.0,-995.0,14:07:50.481280,192.168.0.114
66,4,0,-4,77,"2,0,178",0,0,-151,0,0,1,88,90,75,70,85,-102.1,6,4.0,11.0,-1009.0,14:07:50.583317,192.168.0.114
67,4,0,-4,77,"2,0,178",0,0,-151,0,0,0,88,91,74,70,85,-102.13,6,-12.0,9.0,-1001.0,14:07:50.685731,192.168.0.114
68,4,1,-4,75,"1,0,178",0,0,-151,0,0,0,88,91,73,70,85,-102.07,6,6.0,9.0,-1030.0,14:07:50.787589,192.168.0.114
69,4,1,-4,75,"1,0,178",0,0,-151,0,0,0,88,91,73,70,85,-102.12,6,3.0,14.0,-1013.0,14:07:51.071964,192.168.0.114
70,4,1,-4,74,"0,0,178",0,-1,-151,0,0,0,88,91,72,70,85,-102.14,6,-19.0,-3.0,-995.0,14:07:51.072170,192.168.0.114
71,4,1,-4,74,"0,0,178",0,0,-151,0,0,0,88,91,72,70,85,-102.13,6,11.0,0.0,-1014.0,14:07:51.093172,192.168.0.114
72,4,2,-3,73,"0,0,177",0,0,-151,0,0,0,88,91,72,70,85,-102.16,6,-4.0,6.0,-988.0,14:07:51.195133,192.168.0.114
73,4,2,-3,73,"0,0,177",0,0,-151,0,0,0,88,91,72,70,85,-102.15,7,14.0,0.0,-1007.0,14:07:51.297180,192.168.0.114
74,4,4,-4,72,"0,0,179",0,0,-151,0,0,0,88,91,72,70,85,-102.19,7,2.0,-1.0,-1006.0,14:07:51.399193,192.168.0.114
75,4,4,-4,72,"0,0,179",0,0,-151,0,0,0,88,91,71,60,85,-102.2,7,-5.0,9.0,-990.0,14:07:51.501127,192.168.0.114
76,4,3,-4,72,"-1,0,179",0,0,-151,0,0,0,88,91,71,60,85,-102.16,7,11.0,6.0,-1023.0,14:07:51.603163,192.168.0.114
77,4,3,-4,72,"-1,0,179",0,0,-151,0,0,0,88,90,71,60,85,-102.17,7,-4.0,0.0,-998.0,14:07:51.705200,192.168.0.114
78,4,6,-4,71,"0,-1,-179",0,0,-151,0,0,0,88,90,71,60,85,-102.19,7,-2.0,-4.0,-1011.0,14:07:52.093131,192.168.0.114
79,4,6,-4,71,"0,-1,-179",0,0,-151,0,0,0,88,90,71,60,85,-102.21,7,9.0,12.0,-1011.0,14:07:52.093356,192.168.0.114
80,4,6,-4,71,"0,-1,-179",0,0,-151,0,0,0,88,90,70,60,85,-102.18,7,0.0,7.0,-995.0,14:07:52.093517,192.168.0.114
81,4,9,-7,70,"2,-1,-176",0,0,-151,0,0,0,88,90,70,60,85,-102.19,7,2.0,18.0,-986.0,14:07:52.113188,192.168.0.114
82,4,9,-7,70,"2,-1,-176",0,0,-151,0,0,0,88,90,70,60,85,-102.21,7,-11.0,20.0,-998.0,14:07:52.215177,192.168.0.114
83,4,8,-3,70,"0,-1,179",0,0,-151,0,0,0,88,90,70,60,85,-102.17,8,-26.0,2.0,-981.0,14:07:52.317271,192.168.0.114
84,4,8,-3,70,"0,-1,179",0,0,-151,0,0,0,88,90,70,60,85,-102.21,8,-1.0,-2.0,-982.0,14:07:52.419192,192.168.0.114
85,4,9,-4,70,"0,-1,-178",0,0,-151,0,0,0,88,90,69,60,85,-102.22,8,-13.0,8.0,-994.0,14:07:52.521107,192.168.0.114
86,4,9,-4,70,"0,-1,-178",0,0,-151,0,0,0,88,90,69,60,85,-102.19,8,0.0,27.0,-1003.0,14:07:52.623167,192.168.0.114
87,4,10,-4,69,"0,-1,-178",0,0,-151,0,0,0,88,90,70,60,85,-102.18,8,-8.0,10.0,-1009.0,14:07:52.725287,192.168.0.114
88,4,10,-4,69,"0,-1,-178",0,0,-151,0,0,0,88,90,69,60,85,-102.2,8,-11.0,6.0,-1006.0,14:07:52.827085,192.168.0.114
89,4,12,-3,69,"0,-1,-177",0,0,-151,0,0,0,88,90,69,60,85,-102.22,8,5.0,10.0,-999.0,14:07:52.878455,192.168.0.114
