,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
4,-1,-100,-100,-100,"-1,-1,-1",0,0,3,0,0,0,60,63,10,0,94,-21.71,0,12.0,-5.0,-997.0,11:56:13.807365,192.168.0.115
9,-1,-100,-100,-100,"-1,-1,-1",0,0,3,0,0,0,60,63,10,0,94,-21.67,0,13.0,-6.0,-1000.0,11:56:14.014889,192.168.0.115
14,-1,-100,-100,-100,"-1,-1,-1",0,0,3,0,0,0,60,63,10,0,94,-21.7,0,11.0,-6.0,-998.0,11:56:14.015226,192.168.0.115
19,-1,-100,-100,-100,"-1,-1,-1",0,0,3,0,0,0,60,63,10,0,94,-21.65,0,13.0,-7.0,-1001.0,11:56:14.222645,192.168.0.115
21,-1,-100,-100,-100,"-1,-1,-1",0,0,3,0,0,0,60,63,10,0,94,-21.69,0,14.0,-7.0,-1000.0,11:56:14.223079,192.168.0.115
26,-1,-100,-100,-100,"-1,-1,-1",0,0,3,0,0,0,60,63,10,0,94,-21.69,0,20.0,-6.0,-997.0,11:56:14.230471,192.168.0.115
31,-1,-100,-100,-100,"-1,-1,-1",0,0,3,0,0,0,60,63,10,0,94,-21.69,0,18.0,-10.0,-998.0,11:56:14.429589,192.168.0.115
37,-1,-100,-100,-100,"-1,-1,-1",0,0,3,0,0,0,60,63,10,0,94,-21.69,0,0.0,-4.0,-998.0,11:56:14.435635,192.168.0.115
42,-1,-100,-100,-100,"-1,-1,-1",0,0,3,0,0,0,60,63,10,0,94,-21.69,0,17.0,4.0,-1000.0,11:56:14.636833,192.168.0.115
47,-1,-100,-100,-100,"-1,-1,-1",0,0,3,0,0,0,61,63,10,0,94,-21.69,0,10.0,-12.0,-1169.0,11:56:14.638173,192.168.0.115
52,-1,-100,-100,-100,"-1,-1,-1",0,0,2,0,0,-1,61,63,14,-10,94,-21.69,0,12.0,-1.0,-1351.0,11:56:14.844195,192.168.0.115
57,-1,-100,-100,-100,"-1,-1,-1",0,0,3,0,0,-5,61,63,13,-10,94,-21.69,0,2.0,-13.0,-1311.0,11:56:14.845082,192.168.0.115
62,-1,-100,-100,-100,"-1,-1,-1",1,0,3,0,0,-6,61,63,17,0,94,-21.35,0,-7.0,-16.0,-1119.0,11:56:15.050467,192.168.0.115
67,-1,-100,-100,-100,"-1,-1,-1",0,1,3,0,0,-6,61,63,24,0,94,-21.27,0,7.0,-21.0,-1046.0,11:56:15.051251,192.168.0.115
72,-1,-100,-100,-100,"-1,-1,-1",0,0,3,0,0,-6,61,63,34,0,94,-21.19,1,6.0,-11.0,-1010.0,11:56:15.257545,192.168.0.115
77,1,17,3,36,"0,2,177",0,0,2,0,0,-6,61,63,46,0,94,-21.09,1,7.0,2.0,-967.0,11:56:15.258337,192.168.0.115
82,1,17,1,51,"0,1,179",0,0,2,0,0,-5,61,63,56,0,94,-21.0,1,-2.0,-4.0,-946.0,11:56:15.351877,192.168.0.115
88,1,17,0,56,"0,0,-179",0,0,2,0,0,-4,61,63,66,0,94,-20.9,1,5.0,-9.0,-907.0,11:56:15.454373,192.168.0.115
93,1,16,4,65,"0,2,177",0,0,2,0,0,-3,61,63,74,0,94,-20.82,1,24.0,-21.0,-898.0,11:56:15.557413,192.168.0.115
98,1,9,5,79,"-4,1,176",0,0,2,0,0,-2,60,63,81,0,94,-20.8,1,0.0,-9.0,-905.0,11:56:15.658530,192.168.0.115
103,1,10,6,83,"-3,1,176",0,0,3,0,0,-1,60,63,88,10,94,-20.7,1,0.0,4.0,-919.0,11:56:15.760526,192.168.0.115
108,1,6,4,94,"-5,1,177",0,0,3,0,0,0,60,63,94,10,94,-20.71,1,-1.0,-9.0,-921.0,11:56:15.862536,192.168.0.115
