,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
2,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,89,92,10,0,92,-58.08,0,-3.0,5.0,-999.0,15:55:03.271083,192.168.0.114
7,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,89,92,10,0,92,-58.04,0,-5.0,6.0,-998.0,15:55:03.373273,192.168.0.114
13,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,89,92,10,0,92,-58.07,0,-3.0,4.0,-998.0,15:55:03.474975,192.168.0.114
18,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,89,92,10,0,92,-58.08,0,-8.0,2.0,-998.0,15:55:03.577150,192.168.0.114
23,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,89,92,10,0,92,-58.08,0,-5.0,1.0,-999.0,15:55:03.678893,192.168.0.114
28,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,89,92,10,0,92,-58.08,0,-11.0,-14.0,-1002.0,15:55:03.783761,192.168.0.114
33,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,89,92,10,0,92,-58.08,0,-13.0,-1.0,-988.0,15:55:03.883348,192.168.0.114
39,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,89,92,10,0,92,-58.08,0,-8.0,0.0,-1093.0,15:55:03.985209,192.168.0.114
44,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-1,89,92,10,0,92,-58.08,0,-15.0,12.0,-1254.0,15:55:04.087162,192.168.0.114
49,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-4,89,92,10,0,92,-58.08,0,46.0,-3.0,-1325.0,15:55:04.189082,192.168.0.114
54,-1,-100,-100,-100,"-1,-1,-1",0,0,1,0,0,-6,89,92,14,0,92,-58.05,0,-6.0,0.0,-1157.0,15:55:04.291257,192.168.0.114
55,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-7,89,92,22,10,92,-57.81,0,-6.0,4.0,-1053.0,15:55:04.342020,192.168.0.114
60,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-7,89,92,30,20,92,-57.72,0,18.0,13.0,-991.0,15:55:04.444068,192.168.0.114
65,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-7,89,92,35,20,92,-57.59,1,5.0,14.0,-971.0,15:55:04.546375,192.168.0.114
70,4,19,-1,39,"0,0,-179",0,0,0,0,0,-7,89,92,44,30,92,-57.5,1,0.0,13.0,-934.0,15:55:04.648174,192.168.0.114
75,4,20,-1,43,"0,0,179",0,0,0,0,0,-6,89,93,51,30,92,-57.48,1,15.0,7.0,-898.0,15:55:04.749934,192.168.0.114
80,4,21,-4,53,"0,0,-178",0,0,0,0,0,-5,89,93,57,40,92,-57.45,1,10.0,5.0,-888.0,15:55:04.852171,192.168.0.114
85,4,21,-5,56,"1,0,-177",0,-1,0,0,0,-3,89,93,62,40,92,-57.43,1,-3.0,8.0,-903.0,15:55:04.954110,192.168.0.114
90,4,22,-5,63,"1,0,-177",0,-1,0,0,0,-2,89,93,66,50,92,-57.39,1,8.0,9.0,-910.0,15:55:05.056098,192.168.0.114
95,4,22,-6,65,"1,0,-177",0,-1,0,0,0,-2,89,93,70,50,92,-57.38,1,9.0,11.0,-922.0,15:55:05.158195,192.168.0.114
100,4,22,-7,69,"1,0,-176",0,0,0,0,0,-1,89,93,72,50,92,-57.35,1,-8.0,17.0,-956.0,15:55:05.259831,192.168.0.114
105,4,20,-8,71,"0,0,-176",0,0,1,0,0,-1,89,93,74,50,92,-57.33,1,5.0,17.0,-966.0,15:55:05.362045,192.168.0.114
110,4,20,-8,73,"0,0,-176",0,0,1,0,0,0,89,93,76,50,92,-57.29,1,1.0,13.0,-978.0,15:55:05.464027,192.168.0.114
116,4,21,-8,75,"0,0,-176",0,0,1,0,0,0,89,93,77,60,92,-57.24,2,16.0,10.0,-988.0,15:55:05.566034,192.168.0.114
121,4,20,-6,76,"0,0,-177",0,0,1,0,0,0,89,93,79,60,92,-57.15,2,-3.0,2.0,-977.0,15:55:05.668154,192.168.0.114
127,4,20,-6,78,"0,0,-177",0,0,1,0,0,0,90,92,80,60,92,-57.15,2,6.0,1.0,-993.0,15:55:05.769971,192.168.0.114
132,4,18,-4,79,"0,0,-178",0,0,1,0,0,0,90,92,81,60,92,-57.21,2,-2.0,6.0,-989.0,15:55:05.872101,192.168.0.114
137,4,19,-6,80,"0,0,-176",0,0,1,0,0,0,90,92,83,60,92,-57.11,2,15.0,16.0,-984.0,15:55:05.974419,192.168.0.114
142,4,18,-7,81,"0,0,-176",0,0,1,0,0,0,90,92,83,60,92,-57.16,2,-11.0,19.0,-971.0,15:55:06.076119,192.168.0.114
147,4,18,-7,82,"0,0,-176",0,0,1,0,0,0,90,92,84,60,92,-57.15,2,8.0,16.0,-972.0,15:55:06.178052,192.168.0.114
152,4,17,-7,83,"0,0,-176",0,0,1,0,0,0,90,92,84,60,92,-57.11,2,15.0,4.0,-984.0,15:55:06.280100,192.168.0.114
157,4,17,-7,83,"0,0,-176",0,0,0,0,0,0,90,92,84,60,92,-57.11,2,16.0,3.0,-988.0,15:55:06.381972,192.168.0.114
162,4,22,-15,80,"2,-1,-171",0,0,0,0,0,0,90,92,84,60,92,-57.12,2,9.0,6.0,-987.0,15:55:06.484050,192.168.0.114
168,4,19,-6,83,"0,0,-177",0,0,0,0,0,0,90,92,84,60,92,-57.08,3,-10.0,15.0,-988.0,15:55:06.585849,192.168.0.114
173,4,18,-6,84,"-1,0,-176",0,0,0,0,0,0,90,92,85,60,92,-57.11,3,0.0,23.0,-999.0,15:55:06.688125,192.168.0.114
178,4,19,-7,84,"0,0,-176",0,0,0,0,0,0,89,92,85,70,92,-57.18,3,4.0,20.0,-989.0,15:55:06.794555,192.168.0.114
183,4,20,-5,84,"0,0,-177",0,0,0,0,0,0,89,92,85,70,92,-57.14,3,9.0,10.0,-1005.0,15:55:06.901610,192.168.0.114
188,4,20,-6,84,"0,0,-176",0,0,0,0,0,0,89,92,85,70,92,-57.17,3,2.0,7.0,-1007.0,15:55:06.994785,192.168.0.114
190,4,22,-6,83,"1,0,-176",0,0,0,0,0,0,89,92,85,70,92,-57.08,3,5.0,4.0,-978.0,15:55:07.044990,192.168.0.114
195,4,22,-6,84,"0,0,-176",0,0,0,0,0,0,89,92,85,70,92,-57.2,3,-5.0,15.0,-994.0,15:55:07.146560,192.168.0.114
200,4,21,-5,84,"0,0,-177",0,0,0,0,0,0,89,92,85,70,92,-57.18,3,0.0,4.0,-990.0,15:55:07.248814,192.168.0.114
205,4,22,-5,84,"0,0,-177",0,0,0,0,0,0,89,92,85,70,92,-57.18,3,-16.0,2.0,-1004.0,15:55:07.354846,192.168.0.114
210,4,24,-6,83,"1,0,-176",0,0,0,0,0,0,89,92,85,70,92,-57.15,3,8.0,13.0,-1014.0,15:55:07.453663,192.168.0.114
215,4,22,-4,84,"0,0,-178",0,0,0,0,0,0,89,92,86,70,92,-57.14,4,15.0,5.0,-1001.0,15:55:07.555098,192.168.0.114
