,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
3,-1,-100,-100,-100,"0,0,0",0,2,6,0,0,0,63,65,10,0,73,11.63,31,-13.0,-42.0,-1001.0,13:54:05.750442,192.168.0.112
8,-1,-100,-100,-100,"0,0,0",0,2,6,0,0,0,63,65,10,0,73,11.65,31,-13.0,-42.0,-998.0,13:54:05.852468,192.168.0.112
13,-1,-100,-100,-100,"0,0,0",0,2,6,0,0,0,63,65,10,0,73,11.65,31,-18.0,-44.0,-1002.0,13:54:05.954332,192.168.0.112
18,-1,-100,-100,-100,"0,0,0",0,2,6,0,0,0,63,65,10,0,73,11.65,31,-17.0,-39.0,-1001.0,13:54:06.056638,192.168.0.112
23,-1,-100,-100,-100,"0,0,0",0,2,6,0,0,0,63,65,10,0,73,11.65,31,-14.0,-52.0,-996.0,13:54:06.158543,192.168.0.112
29,-1,-100,-100,-100,"0,0,0",0,2,6,0,0,0,63,65,10,0,73,11.65,31,-10.0,2.0,-997.0,13:54:06.260488,192.168.0.112
34,-1,-100,-100,-100,"0,0,0",0,2,6,0,0,0,63,65,10,0,73,11.65,32,0.0,-7.0,-1046.0,13:54:06.362276,192.168.0.112
39,-1,-100,-100,-100,"0,0,0",0,0,6,0,0,0,63,65,10,0,73,11.65,32,-3.0,2.0,-1207.0,13:54:06.464447,192.168.0.112
44,-1,-100,-100,-100,"0,0,0",-1,0,6,0,0,2,63,65,10,0,73,11.65,32,-1.0,13.0,-1350.0,13:54:06.566615,192.168.0.112
49,-1,-100,-100,-100,"0,0,0",0,0,5,0,0,5,63,65,15,0,73,11.67,32,-5.0,-17.0,-1160.0,13:54:06.668980,192.168.0.112
54,-1,-100,-100,-100,"0,0,0",0,-1,5,0,0,7,63,65,21,10,73,12.05,32,-9.0,-23.0,-1029.0,13:54:06.770958,192.168.0.112
59,-1,-100,-100,-100,"0,0,0",0,-1,5,0,0,7,63,65,28,10,73,12.11,32,-11.0,-28.0,-987.0,13:54:06.872217,192.168.0.112
64,-1,-100,-100,-100,"0,0,0",0,0,5,0,0,7,63,65,36,20,73,12.14,32,1.0,-8.0,-944.0,13:54:06.974506,192.168.0.112
69,-1,-100,-100,-100,"0,0,0",0,1,5,0,0,7,62,65,44,30,73,12.18,32,-31.0,-18.0,-945.0,13:54:07.076649,192.168.0.112
75,-1,-100,-100,-100,"0,0,0",0,1,5,0,0,6,62,65,51,30,73,12.25,32,-37.0,2.0,-955.0,13:54:07.178067,192.168.0.112
80,-1,-100,-100,-100,"0,0,0",-1,1,6,0,0,5,62,65,57,40,73,12.34,32,1.0,-41.0,-898.0,13:54:07.280157,192.168.0.112
84,-1,-100,-100,-100,"0,0,0",-1,0,6,0,0,4,62,65,63,40,73,12.38,33,-16.0,-21.0,-906.0,13:54:07.382662,192.168.0.112
89,-1,-100,-100,-100,"0,0,0",-1,0,6,0,0,3,62,65,67,50,73,12.5,33,-8.0,-28.0,-919.0,13:54:07.484537,192.168.0.112
95,-1,-100,-100,-100,"0,0,0",-1,1,7,0,0,3,62,65,71,50,72,12.64,33,-19.0,-15.0,-924.0,13:54:07.586189,192.168.0.112
100,-1,-100,-100,-100,"0,0,0",-1,2,6,0,0,2,62,65,74,50,72,12.52,33,-5.0,9.0,-906.0,13:54:07.690328,192.168.0.112
105,-1,-100,-100,-100,"0,0,0",-1,2,6,0,0,1,62,65,75,60,72,12.69,33,9.0,-4.0,-933.0,13:54:07.790099,192.168.0.112
110,-1,-100,-100,-100,"0,0,0",0,0,6,0,0,1,62,65,77,60,72,12.71,33,4.0,19.0,-996.0,13:54:07.892139,192.168.0.112
114,-1,-100,-100,-100,"0,0,0",0,0,7,0,0,0,62,65,79,60,72,12.67,33,10.0,5.0,-990.0,13:54:07.994759,192.168.0.112
120,3,37,-14,71,"0,-8,-170",0,0,7,0,0,0,62,66,81,60,72,12.76,33,-18.0,37.0,-989.0,13:54:08.096392,192.168.0.112
125,3,37,-14,71,"0,-8,-170",0,-1,7,0,0,0,62,66,81,60,72,12.7,33,19.0,1.0,-959.0,13:54:08.198050,192.168.0.112
130,3,37,-14,71,"0,-8,-170",0,-1,7,0,0,0,62,66,82,60,72,12.8,33,10.0,15.0,-996.0,13:54:08.300295,192.168.0.112
133,3,37,-14,71,"0,-8,-170",0,-1,7,0,0,0,62,66,82,60,72,12.75,34,28.0,3.0,-982.0,13:54:08.351474,192.168.0.112
138,3,40,-6,76,"0,-5,180",1,0,7,0,0,0,62,66,82,60,72,12.63,34,27.0,7.0,-964.0,13:54:08.453498,192.168.0.112
143,3,40,-6,76,"0,-5,180",2,0,6,-1,0,0,62,66,83,60,72,12.67,34,31.0,-9.0,-1007.0,13:54:08.555710,192.168.0.112
148,3,40,-6,76,"0,-5,180",2,0,6,0,0,0,62,66,84,60,72,12.77,34,3.0,20.0,-1028.0,13:54:08.657501,192.168.0.112
153,3,40,-6,76,"0,-5,180",2,0,6,0,0,0,62,66,84,70,72,12.73,34,17.0,-37.0,-996.0,13:54:08.759654,192.168.0.112
158,3,40,-6,76,"0,-5,180",2,1,6,0,0,0,62,66,85,70,72,12.82,34,19.0,-15.0,-953.0,13:54:08.864699,192.168.0.112
163,3,40,-6,76,"0,-5,180",1,1,6,0,0,0,62,66,85,70,72,12.83,34,15.0,-26.0,-994.0,13:54:08.963554,192.168.0.112
168,3,40,-6,76,"0,-5,180",1,2,5,0,0,0,62,65,85,70,72,12.91,34,18.0,-21.0,-988.0,13:54:09.065685,192.168.0.112
173,3,40,-6,76,"0,-5,180",0,1,5,0,0,0,62,65,85,70,72,12.82,34,5.0,-39.0,-975.0,13:54:09.167401,192.168.0.112
178,3,40,-6,76,"0,-5,180",1,2,5,0,0,0,62,65,84,70,72,12.8,35,11.0,-3.0,-982.0,13:54:09.269503,192.168.0.112
183,3,40,-6,76,"0,-5,180",1,2,5,0,0,0,62,65,84,70,72,12.79,35,26.0,-5.0,-1051.0,13:54:09.371514,192.168.0.112
188,3,40,-6,76,"0,-5,180",0,2,5,0,0,0,62,65,83,70,72,12.73,35,11.0,-12.0,-1026.0,13:54:09.473740,192.168.0.112
193,3,40,-6,76,"0,-5,180",0,1,6,0,0,0,62,65,83,70,72,12.65,35,13.0,-28.0,-994.0,13:54:09.575405,192.168.0.112
198,3,40,-6,76,"0,-5,180",0,0,6,0,0,0,62,65,83,70,72,12.8,35,9.0,-31.0,-1029.0,13:54:09.677328,192.168.0.112
203,3,40,-6,76,"0,-5,180",1,1,6,0,0,0,62,65,82,70,72,12.71,35,19.0,-41.0,-1015.0,13:54:09.780403,192.168.0.112
209,3,40,-6,76,"0,-5,180",0,2,6,0,0,0,62,65,83,70,72,12.59,35,-5.0,-35.0,-1020.0,13:54:09.881631,192.168.0.112
214,3,40,-6,76,"0,-5,180",0,2,6,0,0,0,62,65,84,70,72,12.77,35,0.0,-29.0,-971.0,13:54:09.983550,192.168.0.112
219,3,40,-6,76,"0,-5,180",0,2,6,0,0,0,62,65,84,70,72,12.65,35,3.0,-23.0,-971.0,13:54:10.085482,192.168.0.112
224,3,40,-6,76,"0,-5,180",0,1,6,0,0,0,62,65,84,70,72,12.78,35,7.0,-22.0,-1019.0,13:54:10.188803,192.168.0.112
229,3,40,-6,76,"0,-5,180",0,1,6,0,0,0,62,65,85,70,72,12.64,36,17.0,-27.0,-950.0,13:54:10.290058,192.168.0.112
234,3,40,-6,76,"0,-5,180",0,1,6,0,0,0,62,65,85,70,72,12.86,36,18.0,-33.0,-1000.0,13:54:10.391589,192.168.0.112
239,3,40,-6,76,"0,-5,180",1,2,6,0,0,0,62,65,84,70,72,12.76,36,6.0,-20.0,-1004.0,13:54:10.493540,192.168.0.112
244,3,40,-6,76,"0,-5,180",1,1,6,0,0,0,62,65,84,70,72,12.79,36,28.0,-39.0,-1011.0,13:54:10.595526,192.168.0.112
250,3,40,-6,76,"0,-5,180",0,1,6,0,0,0,62,65,83,70,72,12.71,36,21.0,-32.0,-981.0,13:54:10.697363,192.168.0.112
255,3,40,-6,76,"0,-5,180",0,2,6,0,0,0,62,65,84,70,72,12.63,36,8.0,-30.0,-1029.0,13:54:10.799147,192.168.0.112
260,3,40,-6,76,"0,-5,180",0,2,6,0,0,0,62,65,84,70,72,12.59,36,-1.0,-13.0,-983.0,13:54:10.901277,192.168.0.112
265,3,40,-6,76,"0,-5,180",0,1,6,0,0,0,62,65,84,70,72,12.64,36,-6.0,-5.0,-999.0,13:54:11.003552,192.168.0.112
270,3,40,-6,76,"0,-5,180",0,0,6,0,0,0,62,65,83,70,72,12.74,36,-7.0,2.0,-995.0,13:54:11.105349,192.168.0.112
275,3,40,-6,76,"0,-5,180",0,0,6,0,0,0,62,65,83,70,72,12.65,36,-5.0,-4.0,-993.0,13:54:11.207357,192.168.0.112
280,3,40,-6,76,"0,-5,180",0,0,6,0,0,0,62,65,83,70,72,12.54,37,-37.0,3.0,-986.0,13:54:11.309405,192.168.0.112
285,3,40,-6,76,"0,-5,180",-1,0,6,0,0,0,62,65,84,70,72,12.54,37,2.0,-1.0,-1004.0,13:54:11.411286,192.168.0.112
290,3,40,-6,76,"0,-5,180",-1,0,6,0,0,0,62,65,85,70,72,12.59,37,-7.0,0.0,-1011.0,13:54:11.513269,192.168.0.112
295,3,40,-6,76,"0,-5,180",-1,0,6,0,0,0,62,65,85,70,72,12.58,37,-17.0,3.0,-975.0,13:54:11.615474,192.168.0.112
300,3,40,-14,82,"-1,-6,-175",-1,-1,6,0,0,0,62,65,86,70,72,12.48,37,-28.0,-23.0,-992.0,13:54:11.717372,192.168.0.112
305,3,40,-14,82,"-1,-6,-175",-1,0,6,0,0,0,62,65,85,70,72,12.52,37,-39.0,-4.0,-991.0,13:54:11.819471,192.168.0.112
310,3,40,-14,82,"-1,-6,-175",-1,0,6,0,0,0,62,65,85,70,72,12.53,37,-39.0,15.0,-1013.0,13:54:11.921097,192.168.0.112
313,3,40,-14,82,"-1,-6,-175",-2,0,6,0,0,0,62,65,85,70,72,12.71,37,-35.0,22.0,-957.0,13:54:11.975019,192.168.0.112
320,3,31,-23,84,"-4,-8,-172",-2,0,6,0,0,0,62,65,86,70,72,12.72,37,-32.0,15.0,-983.0,13:54:12.125380,192.168.0.112
323,3,31,-23,84,"-4,-8,-172",-2,-1,6,0,0,0,62,65,85,70,72,12.5,37,-50.0,8.0,-972.0,13:54:12.176455,192.168.0.112
328,3,31,-23,84,"-4,-8,-172",-2,-1,6,0,0,0,62,65,85,70,72,12.56,38,-47.0,4.0,-1008.0,13:54:12.278568,192.168.0.112
333,3,31,-23,84,"-4,-8,-172",-3,-1,6,0,0,0,62,65,85,70,72,12.55,38,-57.0,23.0,-987.0,13:54:12.380446,192.168.0.112
338,3,15,-29,86,"-11,-10,-166",-3,0,7,0,0,0,62,65,85,70,72,12.66,38,-29.0,14.0,-989.0,13:54:12.482468,192.168.0.112
343,3,15,-29,86,"-11,-10,-166",-2,0,6,0,0,0,62,65,84,70,72,12.59,38,-8.0,11.0,-1008.0,13:54:12.584626,192.168.0.112
348,3,15,-29,86,"-11,-10,-166",-1,0,6,0,0,0,62,65,84,70,72,12.48,38,-16.0,33.0,-1025.0,13:54:12.686639,192.168.0.112
353,3,30,-18,82,"0,-5,-174",-1,-1,6,0,0,0,62,65,83,70,72,12.43,38,-36.0,15.0,-1039.0,13:54:12.788918,192.168.0.112
358,3,30,-18,82,"0,-5,-174",-1,-1,6,0,0,0,62,65,83,70,72,12.65,38,-39.0,2.0,-963.0,13:54:12.890665,192.168.0.112
