,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
0,-2,-200,-200,-200,"-1,-1,-1",0,0,0,0,0,0,82,86,6553,0,42,-105.03,289,5.0,-7.0,-1001.0,15:42:17.652997,192.168.0.113
1,-2,-200,-200,-200,"-1,-1,-1",0,0,0,0,0,0,82,86,6553,0,42,-105.06,289,4.0,-4.0,-1000.0,15:42:17.754799,192.168.0.113
2,-2,-200,-200,-200,"-1,-1,-1",0,0,0,0,0,0,83,85,6553,0,42,-105.05,289,5.0,-4.0,-1000.0,15:42:17.856693,192.168.0.113
3,-2,-200,-200,-200,"-1,-1,-1",0,0,0,0,0,0,83,85,6553,0,42,-105.06,289,10.0,-3.0,-1003.0,15:42:17.958670,192.168.0.113
4,-2,-200,-200,-200,"-1,-1,-1",0,0,0,0,0,0,83,85,6553,0,42,-105.06,289,13.0,-5.0,-999.0,15:42:18.061321,192.168.0.113
5,-2,-200,-200,-200,"-1,-1,-1",0,0,0,0,0,0,83,85,6553,0,42,-105.06,289,13.0,0.0,-1005.0,15:42:18.162630,192.168.0.113
6,-2,-200,-200,-200,"-1,-1,-1",0,0,0,0,0,0,83,85,6553,0,42,-105.06,290,37.0,-40.0,-1029.0,15:42:18.264557,192.168.0.113
7,-2,-200,-200,-200,"-1,-1,-1",0,0,-1,0,0,0,83,85,6553,0,42,-105.06,290,-64.0,3.0,-1010.0,15:42:18.475762,192.168.0.113
8,-2,-200,-200,-200,"-1,-1,-1",1,0,-1,0,0,0,83,85,6553,0,42,-105.06,290,-12.0,-5.0,-1137.0,15:42:18.476042,192.168.0.113
9,-2,-200,-200,-200,"-1,-1,-1",0,0,-1,-1,0,-2,83,85,10,0,42,-105.06,290,-40.0,8.0,-1348.0,15:42:18.570733,192.168.0.113
10,-2,-200,-200,-200,"-1,-1,-1",-2,0,0,-1,0,-5,83,85,10,0,42,-105.06,290,-32.0,6.0,-1283.0,15:42:18.672550,192.168.0.113
11,-2,-200,-200,-200,"-1,-1,-1",-2,0,-1,-1,0,-7,83,85,10,10,42,-105.03,290,-61.0,6.0,-1108.0,15:42:18.775037,192.168.0.113
12,-2,-200,-200,-200,"-1,-1,-1",-2,-1,-1,-1,0,-8,83,85,24,10,42,-104.67,290,-69.0,-17.0,-1067.0,15:42:18.877487,192.168.0.113
13,-2,-200,-200,-200,"-1,-1,-1",-3,-1,-1,-1,0,-8,83,85,32,20,42,-104.57,290,-67.0,-18.0,-1013.0,15:42:18.981091,192.168.0.113
14,-2,-200,-200,-200,"-1,-1,-1",-4,0,-1,-1,0,-8,83,85,36,30,42,-104.52,290,-67.0,11.0,-936.0,15:42:19.082591,192.168.0.113
15,-2,-200,-200,-200,"-1,-1,-1",-5,0,-1,-1,0,-7,83,85,46,40,42,-104.46,290,-48.0,18.0,-892.0,15:42:19.184621,192.168.0.113
16,4,-9,1,50,"5,0,178",-4,0,-1,0,0,-6,83,85,55,40,42,-104.42,291,-71.0,4.0,-888.0,15:42:19.286986,192.168.0.113
17,4,-9,1,50,"5,0,178",-3,0,-1,0,0,-5,83,85,62,50,42,-104.38,291,-50.0,-8.0,-871.0,15:42:19.386824,192.168.0.113
18,4,-9,1,50,"5,0,178",-3,0,-1,0,0,-3,83,85,71,50,42,-104.3,291,-56.0,-11.0,-865.0,15:42:19.488669,192.168.0.113
19,4,-9,1,50,"5,0,178",-4,0,-1,0,0,-2,83,85,74,60,42,-104.22,291,-42.0,-2.0,-887.0,15:42:19.590599,192.168.0.113
20,4,-9,1,50,"5,0,178",-4,0,-1,0,0,-1,83,85,77,60,42,-104.1,291,-33.0,-4.0,-862.0,15:42:19.692816,192.168.0.113
21,4,-9,1,50,"5,0,178",-4,0,-1,0,0,0,83,85,79,60,42,-104.12,291,-61.0,14.0,-950.0,15:42:19.794604,192.168.0.113
