,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
0,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,75,77,10,0,100,-58.09,0,-2.0,6.0,-999.0,15:51:42.307725,192.168.0.114
5,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,75,77,10,0,100,-58.05,0,-3.0,7.0,-998.0,15:51:42.410022,192.168.0.114
10,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,75,77,10,0,100,-58.02,0,-3.0,8.0,-999.0,15:51:42.512270,192.168.0.114
16,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,75,77,10,0,100,-58.03,0,-5.0,6.0,-999.0,15:51:42.614178,192.168.0.114
21,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,75,77,10,0,100,-58.05,0,-3.0,8.0,-1001.0,15:51:42.716096,192.168.0.114
26,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,75,77,10,0,100,-58.05,0,-2.0,10.0,-1001.0,15:51:42.818089,192.168.0.114
33,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,75,77,10,0,100,-58.05,0,1.0,12.0,-999.0,15:51:42.921581,192.168.0.114
38,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,75,77,10,0,100,-58.05,0,1.0,1.0,-999.0,15:51:43.022327,192.168.0.114
43,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,75,77,10,0,100,-58.05,0,11.0,45.0,-990.0,15:51:43.124306,192.168.0.114
48,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-1,75,77,10,0,100,-58.05,0,-22.0,31.0,-1351.0,15:51:43.226830,192.168.0.114
53,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-5,75,77,10,0,100,-58.05,0,-24.0,27.0,-1195.0,15:51:43.328141,192.168.0.114
