,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
3,-2,-200,-200,-200,"0,0,0",0,1,1,0,0,0,74,76,10,0,94,-11.37,0,7.0,-18.0,-999.0,13:29:31.160993,192.168.0.111
8,-2,-200,-200,-200,"0,0,0",0,1,1,0,0,0,74,76,10,0,94,-11.29,0,7.0,-19.0,-999.0,13:29:31.262905,192.168.0.111
10,-2,-200,-200,-200,"0,0,0",0,1,1,0,0,0,74,76,10,0,94,-11.32,0,8.0,-18.0,-1000.0,13:29:31.357561,192.168.0.111
16,-2,-200,-200,-200,"0,0,0",0,1,1,0,0,0,74,76,10,0,94,-11.32,0,7.0,-18.0,-997.0,13:29:31.506161,192.168.0.111
21,-2,-200,-200,-200,"0,0,0",0,1,1,0,0,0,74,76,10,0,94,-11.32,0,8.0,-23.0,-999.0,13:29:31.518722,192.168.0.111
26,-2,-200,-200,-200,"0,0,0",0,1,1,0,0,0,74,76,10,0,94,-11.32,0,15.0,-15.0,-997.0,13:29:31.619877,192.168.0.111
31,-2,-200,-200,-200,"0,0,0",0,1,1,0,0,0,74,76,10,0,94,-11.32,0,6.0,-9.0,-1004.0,13:29:31.721889,192.168.0.111
36,-2,-200,-200,-200,"0,0,0",0,1,1,0,0,0,74,76,10,0,94,-11.32,0,-15.0,-5.0,-997.0,13:29:31.838120,192.168.0.111
41,-2,-200,-200,-200,"0,0,0",0,0,1,0,0,0,74,76,10,0,94,-11.32,0,5.0,4.0,-1176.0,13:29:31.958286,192.168.0.111
46,-2,-200,-200,-200,"0,0,0",0,0,2,0,0,2,74,76,10,0,94,-11.32,0,19.0,13.0,-1382.0,13:29:32.077668,192.168.0.111
51,-2,-200,-200,-200,"0,0,0",1,0,2,0,0,6,74,76,10,0,94,-11.32,0,-16.0,24.0,-1263.0,13:29:32.129790,192.168.0.111
56,-2,-200,-200,-200,"0,0,0",1,0,2,0,0,7,74,76,12,10,94,-11.06,0,10.0,24.0,-1065.0,13:29:32.231772,192.168.0.111
61,-2,-200,-200,-200,"0,0,0",1,-1,2,0,0,8,74,76,21,10,94,-10.86,0,3.0,4.0,-1006.0,13:29:32.333802,192.168.0.111
66,-2,-200,-200,-200,"0,0,0",0,-1,2,0,0,7,74,76,30,20,94,-10.92,0,23.0,-9.0,-954.0,13:29:32.438449,192.168.0.111
71,-2,-200,-200,-200,"0,0,0",1,0,2,0,0,7,74,76,37,30,94,-10.81,1,11.0,6.0,-929.0,13:29:32.557838,192.168.0.111
76,-2,-200,-200,-200,"0,0,0",1,0,2,0,0,6,74,76,44,30,94,-10.7,1,11.0,10.0,-903.0,13:29:32.680158,192.168.0.111
81,-2,-200,-200,-200,"0,0,0",1,0,1,0,0,5,74,76,51,40,94,-10.66,1,11.0,13.0,-896.0,13:29:32.797738,192.168.0.111
87,-2,-200,-200,-200,"0,0,0",1,0,1,0,0,4,74,76,60,40,94,-10.63,1,-7.0,7.0,-914.0,13:29:32.843752,192.168.0.111
92,-2,-200,-200,-200,"0,0,0",0,0,1,0,0,3,74,77,64,50,94,-10.52,1,-2.0,13.0,-915.0,13:29:32.946052,192.168.0.111
96,-2,-200,-200,-200,"0,0,0",0,0,1,0,0,2,74,77,68,50,94,-10.51,1,7.0,7.0,-930.0,13:29:33.048300,192.168.0.111
102,-2,-200,-200,-200,"0,0,0",0,0,1,0,0,1,74,77,70,50,94,-10.42,1,3.0,6.0,-937.0,13:29:33.157611,192.168.0.111
106,-2,-200,-200,-200,"0,0,0",0,0,1,0,0,1,74,77,73,50,94,-10.44,1,0.0,10.0,-970.0,13:29:33.281597,192.168.0.111
112,5,26,-1,60,"1,-2,179",0,0,2,0,0,1,74,77,75,50,94,-10.4,1,12.0,10.0,-978.0,13:29:33.401127,192.168.0.111
118,5,26,-1,60,"1,-2,179",0,0,2,0,0,0,74,77,77,60,94,-10.36,1,2.0,9.0,-984.0,13:29:33.521085,192.168.0.111
123,5,26,-1,60,"1,-2,179",0,0,2,0,0,0,74,77,79,60,94,-10.32,2,2.0,9.0,-984.0,13:29:33.557648,192.168.0.111
128,5,26,-1,60,"1,-2,179",0,0,2,0,0,0,74,77,80,60,94,-10.36,2,4.0,8.0,-990.0,13:29:33.767050,192.168.0.111
133,5,26,-1,60,"1,-2,179",0,0,2,0,0,0,74,77,82,60,94,-10.38,2,13.0,1.0,-986.0,13:29:33.767400,192.168.0.111
138,5,25,-3,74,"2,-2,-178",0,0,2,0,0,0,74,77,83,60,94,-10.38,2,-4.0,4.0,-987.0,13:29:33.883248,192.168.0.111
143,5,25,-3,74,"2,-2,-178",0,0,2,0,0,0,74,77,85,60,94,-10.35,2,0.0,9.0,-980.0,13:29:33.999112,192.168.0.111
149,5,25,-3,74,"2,-2,-178",0,0,2,0,0,0,74,77,86,60,94,-10.26,2,5.0,17.0,-979.0,13:29:34.118933,192.168.0.111
154,5,25,-3,74,"2,-2,-178",0,0,2,0,0,0,74,77,86,70,94,-10.29,2,6.0,14.0,-973.0,13:29:34.169659,192.168.0.111
159,5,22,-2,83,"1,-2,-178",0,0,2,0,0,0,74,77,86,70,94,-10.27,2,4.0,11.0,-981.0,13:29:34.271734,192.168.0.111
