,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
0,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,0,54,57,10,0,100,-105.19,0,2.0,1.0,-999.0,16:00:57.217011,192.168.0.111
1,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,0,54,57,10,0,100,-105.2,0,2.0,0.0,-1000.0,16:00:57.319207,192.168.0.111
2,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,0,54,57,10,0,100,-105.21,0,2.0,2.0,-998.0,16:00:57.420815,192.168.0.111
3,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,0,54,57,10,0,100,-105.21,0,-9.0,9.0,-1000.0,16:00:57.523081,192.168.0.111
4,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,0,54,57,10,0,100,-105.21,0,12.0,0.0,-999.0,16:00:57.721858,192.168.0.111
5,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,0,54,57,10,0,100,-105.21,0,-1.0,2.0,-1001.0,16:00:57.726895,192.168.0.111
6,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,0,54,57,10,0,100,-105.21,0,6.0,-1.0,-1006.0,16:00:57.828982,192.168.0.111
7,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,0,54,57,10,0,100,-105.21,0,-2.0,12.0,-1144.0,16:00:57.931329,192.168.0.111
8,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,2,56,57,14,0,100,-105.21,0,15.0,-10.0,-1242.0,16:00:58.032940,192.168.0.111
9,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,5,56,57,14,0,100,-105.21,0,26.0,1.0,-1299.0,16:00:58.134976,192.168.0.111
10,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,7,56,57,14,10,100,-105.07,0,9.0,-3.0,-1389.0,16:00:58.237018,192.168.0.111
11,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,8,56,57,20,10,100,-104.89,0,7.0,-9.0,-1230.0,16:00:58.339073,192.168.0.111
12,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,8,56,57,29,20,100,-104.82,0,-15.0,2.0,-1069.0,16:00:58.441178,192.168.0.111
13,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,7,56,57,39,30,100,-104.77,1,6.0,-12.0,-992.0,16:00:58.543292,192.168.0.111
14,-2,-200,-200,-200,"0,0,0",0,0,-2,0,0,6,56,57,46,40,100,-104.67,1,-8.0,-2.0,-937.0,16:00:58.645897,192.168.0.111
