,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
2,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,58,59,10,0,100,-21.63,0,5.0,-14.0,-998.0,11:56:13.807037,192.168.0.111
7,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,58,59,10,0,100,-21.64,0,6.0,-12.0,-999.0,11:56:14.014722,192.168.0.111
13,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,58,59,10,0,100,-21.65,0,6.0,-14.0,-999.0,11:56:14.015139,192.168.0.111
18,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,58,59,10,0,100,-21.65,0,6.0,-13.0,-999.0,11:56:14.060061,192.168.0.111
24,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,58,59,10,0,100,-21.65,0,4.0,-13.0,-998.0,11:56:14.223622,192.168.0.111
29,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,58,59,10,0,100,-21.65,0,3.0,-10.0,-1001.0,11:56:14.264008,192.168.0.111
34,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,58,59,10,0,100,-21.65,0,7.0,-21.0,-1004.0,11:56:14.430076,192.168.0.111
35,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,58,59,10,0,100,-21.65,0,0.0,-7.0,-1001.0,11:56:14.430231,192.168.0.111
40,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,57,59,10,0,100,-21.65,0,25.0,-11.0,-1029.0,11:56:14.636434,192.168.0.111
45,-2,-200,-200,-200,"0,0,0",0,0,-1,0,0,0,57,59,10,0,100,-21.65,0,-11.0,0.0,-1188.0,11:56:14.637308,192.168.0.111
50,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,1,57,59,12,0,100,-21.65,0,12.0,-22.0,-1359.0,11:56:14.843776,192.168.0.111
55,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,4,57,59,11,0,100,-21.65,0,18.0,9.0,-1213.0,11:56:14.844754,192.168.0.111
60,-2,-200,-200,-200,"0,0,0",1,0,0,0,0,6,57,59,19,0,100,-21.28,0,-8.0,17.0,-1080.0,11:56:15.050070,192.168.0.111
65,-2,-200,-200,-200,"0,0,0",1,0,0,0,0,6,57,59,25,0,100,-21.28,0,1.0,3.0,-1022.0,11:56:15.050947,192.168.0.111
70,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,6,57,59,34,0,100,-21.16,0,0.0,-2.0,-987.0,11:56:15.257115,192.168.0.111
