Unnamed: 0,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address,global_x,global_y
1,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,82,85,10,0,83,-54.44,0,-5.0,-5.0,-999.0,14:13:44.091365,192.168.0.113,,
6,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,82,85,10,0,83,-54.46,0,-6.0,-4.0,-998.0,14:13:44.193796,192.168.0.113,,
12,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,83,85,10,0,83,-54.41,0,-7.0,-5.0,-998.0,14:13:44.304075,192.168.0.113,,
17,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,83,85,10,0,83,-54.41,0,-6.0,-7.0,-998.0,14:13:44.397559,192.168.0.113,,
23,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,83,85,10,0,83,-54.41,0,-3.0,-3.0,-998.0,14:13:44.499703,192.168.0.113,,
28,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,83,85,10,0,83,-54.41,0,-26.0,-19.0,-1005.0,14:13:44.601613,192.168.0.113,,
33,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,83,85,10,0,83,-54.41,0,-10.0,-24.0,-994.0,14:13:44.703790,192.168.0.113,,
38,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,83,85,10,0,83,-54.41,0,11.0,-10.0,-975.0,14:13:44.805390,192.168.0.113,,
43,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,83,85,10,0,83,-54.41,0,-31.0,-5.0,-1004.0,14:13:44.908128,192.168.0.113,,
48,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-1,83,85,10,0,83,-54.41,0,18.0,27.0,-1355.0,14:13:45.010526,192.168.0.113,,
53,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-4,83,85,10,0,83,-54.29,0,1.0,11.0,-1113.0,14:13:45.112882,192.168.0.113,,
59,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-7,83,85,17,10,83,-54.18,0,6.0,-45.0,-1107.0,14:13:45.215003,192.168.0.113,,
63,-1,-100,-100,-100,"-1,-1,-1",0,-2,0,0,0,-8,83,85,30,10,83,-54.02,0,15.0,11.0,-989.0,14:13:45.317665,192.168.0.113,,
69,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-8,83,85,39,20,83,-53.9,0,7.0,2.0,-963.0,14:13:45.420450,192.168.0.113,,
73,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-8,83,85,47,30,83,-53.89,1,10.0,11.0,-918.0,14:13:45.519636,192.168.0.113,,
78,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-7,83,85,55,40,83,-53.85,1,19.0,-11.0,-869.0,14:13:45.621413,192.168.0.113,,
83,3,19,-6,52,"-1,-7,-176",0,0,0,0,0,-6,83,85,59,50,83,-53.76,1,0.0,24.0,-888.0,14:13:45.723628,192.168.0.113,19.0,94.0
89,3,20,-7,58,"0,-7,-175",0,0,0,0,0,-5,83,85,65,50,83,-53.7,1,-23.0,-9.0,-866.0,14:13:45.825641,192.168.0.113,20.0,93.0
94,3,21,-7,60,"0,-7,-176",0,0,0,0,0,-4,83,85,69,60,83,-53.69,1,18.0,-28.0,-860.0,14:13:45.927481,192.168.0.113,21.0,93.0
99,3,19,-8,67,"-1,-6,-175",0,0,0,0,0,-3,83,85,71,60,83,-53.67,1,12.0,11.0,-911.0,14:13:46.029586,192.168.0.113,19.0,92.0
104,3,20,-9,67,"0,-7,-175",0,0,0,0,0,-1,83,85,73,60,83,-53.7,1,19.0,-5.0,-931.0,14:13:46.131514,192.168.0.113,20.0,91.0
106,3,19,-8,71,"-1,-7,-175",0,0,0,0,0,-1,83,85,74,60,83,-53.63,1,-1.0,2.0,-965.0,14:13:46.182685,192.168.0.113,19.0,92.0
114,3,20,-4,72,"-1,-6,-178",0,0,0,0,0,0,83,85,75,70,83,-53.61,1,5.0,-5.0,-976.0,14:13:46.335377,192.168.0.113,20.0,96.0
116,3,21,-8,71,"0,-7,-174",0,0,0,0,0,0,83,85,75,70,83,-53.62,1,17.0,-34.0,-981.0,14:13:46.386744,192.168.0.113,21.0,92.0
122,3,22,-8,71,"0,-7,-174",0,0,0,0,0,0,83,85,76,70,83,-53.63,2,5.0,-6.0,-1000.0,14:13:46.490237,192.168.0.113,22.0,92.0
126,3,22,-7,72,"0,-6,-174",0,0,0,0,0,0,83,85,76,70,83,-53.56,2,0.0,11.0,-1004.0,14:13:46.590801,192.168.0.113,22.0,93.0
131,3,20,-5,73,"-1,-6,-176",0,0,0,0,0,0,83,85,76,70,83,-53.5,2,24.0,14.0,-1023.0,14:13:46.692742,192.168.0.113,20.0,95.0
137,3,20,-7,73,"-1,-7,-174",1,0,0,0,0,0,83,85,76,70,83,-53.57,2,21.0,-6.0,-1009.0,14:13:46.795792,192.168.0.113,20.0,93.0
142,3,22,-8,72,"0,-7,-174",1,0,0,0,0,0,83,85,76,70,83,-53.56,2,-6.0,-4.0,-1006.0,14:13:46.897312,192.168.0.113,22.0,92.0
