,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
3,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,72,74,10,0,93,-57.67,0,8.0,-11.0,-1000.0,15:55:03.273864,192.168.0.111
8,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,72,75,10,0,93,-57.67,0,9.0,-9.0,-998.0,15:55:03.376606,192.168.0.111
14,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,72,75,10,0,93,-57.7,0,7.0,-9.0,-1000.0,15:55:03.477888,192.168.0.111
19,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,72,75,10,0,93,-57.69,0,9.0,-11.0,-1000.0,15:55:03.580177,192.168.0.111
24,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,72,75,10,0,93,-57.69,0,6.0,-11.0,-999.0,15:55:03.681859,192.168.0.111
29,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,72,75,10,0,93,-57.69,0,3.0,-8.0,-997.0,15:55:03.783968,192.168.0.111
34,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,72,75,10,0,93,-57.69,0,-8.0,14.0,-997.0,15:55:03.886300,192.168.0.111
35,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,72,75,10,0,93,-57.69,0,-9.0,12.0,-1038.0,15:55:03.936799,192.168.0.111
40,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,0,72,75,10,0,93,-57.69,0,-4.0,3.0,-1225.0,15:55:04.038796,192.168.0.111
45,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,2,72,75,10,0,93,-57.69,0,5.0,8.0,-1391.0,15:55:04.140804,192.168.0.111
50,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,5,72,75,12,0,93,-57.69,0,9.0,-12.0,-1184.0,15:55:04.242868,192.168.0.111
56,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,7,72,75,21,10,93,-57.39,0,5.0,3.0,-1056.0,15:55:04.344779,192.168.0.111
61,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,8,72,75,31,10,93,-57.35,0,5.0,-1.0,-998.0,15:55:04.446822,192.168.0.111
66,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,8,72,75,40,20,93,-57.21,0,3.0,8.0,-939.0,15:55:04.548805,192.168.0.111
71,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,7,72,75,46,30,93,-57.12,1,9.0,10.0,-893.0,15:55:04.650849,192.168.0.111
76,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,6,72,75,53,30,93,-57.04,1,15.0,-7.0,-880.0,15:55:04.752286,192.168.0.111
81,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,5,72,75,59,40,93,-57.04,1,16.0,0.0,-883.0,15:55:04.854881,192.168.0.111
86,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,4,72,75,63,40,93,-57.04,1,9.0,5.0,-908.0,15:55:04.956775,192.168.0.111
91,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,3,72,75,66,50,93,-56.95,1,11.0,6.0,-916.0,15:55:05.058812,192.168.0.111
96,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,2,72,75,70,50,93,-56.89,1,14.0,4.0,-941.0,15:55:05.160757,192.168.0.111
101,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,1,72,75,72,50,93,-56.96,1,13.0,8.0,-956.0,15:55:05.262520,192.168.0.111
106,-2,-200,-200,-200,"0,0,0",0,0,0,0,0,1,73,75,74,50,93,-56.88,1,12.0,5.0,-949.0,15:55:05.364769,192.168.0.111
111,1,19,1,67,"-1,4,177",0,0,0,0,0,0,73,75,76,50,93,-56.87,1,13.0,0.0,-962.0,15:55:05.466774,192.168.0.111
117,1,19,1,67,"-1,4,177",0,0,0,0,0,0,73,75,77,50,93,-56.85,1,11.0,11.0,-982.0,15:55:05.569272,192.168.0.111
122,1,19,1,67,"-1,4,177",0,0,0,0,0,0,73,75,80,60,93,-56.83,2,14.0,1.0,-987.0,15:55:05.671134,192.168.0.111
128,1,19,1,67,"-1,4,177",0,0,0,0,0,0,73,75,81,60,93,-56.85,2,7.0,14.0,-990.0,15:55:05.773343,192.168.0.111
133,1,19,1,67,"-1,4,177",0,0,0,0,0,0,73,75,82,60,93,-56.83,2,13.0,7.0,-986.0,15:55:05.874773,192.168.0.111
138,1,16,1,79,"-2,4,177",0,0,0,0,0,0,73,75,84,60,93,-56.81,2,8.0,14.0,-987.0,15:55:05.976843,192.168.0.111
143,1,16,1,79,"-2,4,177",0,0,0,0,0,0,73,75,86,60,93,-56.81,2,2.0,10.0,-987.0,15:55:06.078764,192.168.0.111
148,1,16,1,79,"-2,4,177",0,0,0,0,0,0,73,75,86,60,93,-56.75,2,9.0,12.0,-984.0,15:55:06.182031,192.168.0.111
153,1,16,1,79,"-2,4,177",0,0,0,0,0,0,73,75,87,60,93,-56.73,2,11.0,10.0,-980.0,15:55:06.282711,192.168.0.111
158,1,14,4,87,"-4,4,175",0,0,0,0,0,0,72,75,88,60,93,-56.7,2,6.0,9.0,-981.0,15:55:06.384781,192.168.0.111
163,1,14,4,87,"-4,4,175",0,0,0,0,0,0,72,75,89,70,93,-56.75,2,8.0,11.0,-982.0,15:55:06.486574,192.168.0.111
169,1,14,4,87,"-4,4,175",0,0,0,0,0,0,72,75,89,70,93,-56.7,3,9.0,15.0,-987.0,15:55:06.588744,192.168.0.111
174,1,14,4,87,"-4,4,175",0,0,0,0,0,0,72,75,89,70,93,-56.74,3,28.0,-1.0,-974.0,15:55:06.690748,192.168.0.111
179,1,14,4,87,"-4,4,175",0,0,0,0,0,0,72,75,89,70,93,-56.75,3,5.0,14.0,-989.0,15:55:06.794798,192.168.0.111
184,1,13,5,92,"-4,4,175",1,0,0,0,0,0,72,75,89,70,93,-56.75,3,15.0,9.0,-982.0,15:55:06.901917,192.168.0.111
189,1,13,5,92,"-4,4,175",1,0,0,0,0,0,72,75,89,70,93,-56.72,3,12.0,6.0,-997.0,15:55:06.996692,192.168.0.111
194,1,13,5,92,"-4,4,175",1,0,0,0,0,0,72,75,88,70,93,-56.73,3,10.0,9.0,-990.0,15:55:07.099210,192.168.0.111
199,1,13,5,92,"-4,4,175",1,0,0,0,0,0,72,75,88,70,93,-56.7,3,16.0,11.0,-1003.0,15:55:07.200530,192.168.0.111
204,1,15,6,92,"-4,4,175",0,0,0,0,0,0,72,75,87,70,93,-56.78,3,24.0,8.0,-989.0,15:55:07.302507,192.168.0.111
209,1,15,6,92,"-4,4,175",1,0,0,0,0,0,72,76,86,70,93,-56.81,3,22.0,1.0,-987.0,15:55:07.404746,192.168.0.111
214,1,15,6,92,"-4,4,175",1,0,0,0,0,0,72,76,86,60,93,-56.8,3,11.0,3.0,-1000.0,15:55:07.506691,192.168.0.111
219,1,15,6,92,"-4,4,175",1,0,0,0,0,0,72,76,85,60,93,-56.79,4,10.0,13.0,-1004.0,15:55:07.608799,192.168.0.111
224,1,15,6,92,"-4,4,175",1,0,0,0,0,0,72,76,85,60,93,-56.85,4,24.0,5.0,-1000.0,15:55:07.711192,192.168.0.111
229,1,18,6,90,"-2,4,175",1,0,0,0,0,0,72,76,84,60,93,-56.8,4,13.0,9.0,-1002.0,15:55:07.812672,192.168.0.111
231,1,18,6,90,"-2,4,175",1,0,0,0,0,0,72,76,84,60,93,-56.78,4,25.0,0.0,-1002.0,15:55:07.863894,192.168.0.111
236,1,18,6,90,"-2,4,175",1,0,0,0,0,0,72,76,83,60,93,-56.76,4,10.0,12.0,-998.0,15:55:07.967248,192.168.0.111
241,1,18,6,90,"-2,4,175",1,0,0,0,0,0,72,76,83,60,93,-56.82,4,11.0,11.0,-1001.0,15:55:08.068002,192.168.0.111
246,1,18,6,90,"-2,4,175",1,0,0,0,0,0,72,76,82,60,93,-56.86,4,18.0,6.0,-999.0,15:55:08.169786,192.168.0.111
251,1,21,5,87,"-1,4,176",1,0,0,0,0,0,72,76,82,60,93,-56.79,4,10.0,9.0,-998.0,15:55:08.275964,192.168.0.111
259,1,21,5,87,"-1,4,176",1,0,0,0,0,0,72,75,81,60,93,-56.82,4,8.0,6.0,-1002.0,15:55:08.424618,192.168.0.111
262,1,21,5,87,"-1,4,176",1,0,0,0,0,0,72,75,81,60,93,-56.88,4,13.0,4.0,-1002.0,15:55:08.476058,192.168.0.111
267,1,21,5,87,"-1,4,176",1,0,0,0,0,0,72,75,80,60,93,-56.84,5,18.0,1.0,-1001.0,15:55:08.577895,192.168.0.111
272,1,20,7,85,"-3,5,175",1,0,0,0,0,0,72,75,80,60,93,-56.88,5,10.0,13.0,-1009.0,15:55:08.679888,192.168.0.111
277,1,20,7,85,"-3,5,175",1,0,0,0,0,0,72,75,80,60,93,-56.85,5,6.0,16.0,-1003.0,15:55:08.781896,192.168.0.111
282,1,20,7,85,"-3,5,175",1,0,0,0,0,0,72,75,80,60,93,-56.87,5,14.0,4.0,-1006.0,15:55:08.883961,192.168.0.111
288,1,20,7,85,"-3,5,175",1,0,0,0,0,0,72,75,80,60,93,-56.9,5,9.0,8.0,-1006.0,15:55:08.985981,192.168.0.111
294,1,20,7,85,"-3,5,175",1,0,0,0,0,0,72,75,80,60,93,-56.88,5,13.0,1.0,-994.0,15:55:09.087852,192.168.0.111
