,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
3,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,69,71,10,0,100,-58.22,0,-6.0,-7.0,-1003.0,15:51:42.357129,192.168.0.113
8,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,69,71,10,0,100,-58.24,0,-6.0,-5.0,-1001.0,15:51:42.446930,192.168.0.113
13,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,69,71,10,0,100,-58.24,0,-5.0,-5.0,-998.0,15:51:42.548729,192.168.0.113
18,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,69,71,10,0,100,-58.22,0,-7.0,-6.0,-1003.0,15:51:42.651004,192.168.0.113
23,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,69,71,10,0,100,-58.22,0,-2.0,-4.0,-997.0,15:51:42.760208,192.168.0.113
28,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,69,71,10,0,100,-58.22,0,0.0,-2.0,-1007.0,15:51:42.854550,192.168.0.113
31,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,69,71,10,0,100,-58.22,0,-2.0,17.0,-1002.0,15:51:42.908050,192.168.0.113
36,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,69,71,10,0,100,-58.22,0,-45.0,23.0,-992.0,15:51:43.009831,192.168.0.113
41,-1,-100,-100,-100,"-1,-1,-1",1,0,0,0,0,0,69,71,10,0,100,-58.22,0,-1.0,2.0,-990.0,15:51:43.109575,192.168.0.113
46,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,-3,69,71,10,0,100,-58.22,0,-10.0,9.0,-1089.0,15:51:43.211664,192.168.0.113
51,-1,-100,-100,-100,"-1,-1,-1",-1,0,0,0,0,-5,69,71,10,0,100,-58.22,0,-44.0,-47.0,-1107.0,15:51:43.313605,192.168.0.113
56,-1,-100,-100,-100,"-1,-1,-1",-2,0,0,-1,0,-6,69,71,17,0,100,-57.89,0,-45.0,25.0,-1332.0,15:51:43.415884,192.168.0.113
61,-1,-100,-100,-100,"-1,-1,-1",-2,0,0,0,0,-6,69,71,25,0,100,-57.67,0,-44.0,-47.0,-1107.0,15:51:43.517708,192.168.0.113
66,-1,-100,-100,-100,"-1,-1,-1",-2,1,0,0,0,-6,70,71,33,0,100,-57.69,1,-18.0,-23.0,-1066.0,15:51:43.619653,192.168.0.113
71,3,13,0,39,"1,0,-176",-1,2,0,0,0,-6,70,71,42,10,100,-57.49,1,-15.0,-32.0,-1000.0,15:51:43.722130,192.168.0.113
76,3,12,1,47,"0,1,-176",-1,2,0,0,0,-5,70,71,50,10,100,-57.64,1,-27.0,-5.0,-981.0,15:51:43.823815,192.168.0.113
81,3,12,0,52,"0,1,-175",-2,1,0,0,0,-4,70,71,59,10,100,-57.52,1,-49.0,-35.0,-933.0,15:51:43.928733,192.168.0.113
87,3,10,0,60,"0,1,-175",-2,0,0,0,0,-3,70,71,66,20,100,-57.57,1,-47.0,-30.0,-912.0,15:51:44.027741,192.168.0.113
92,3,8,-2,70,"0,0,-175",-2,0,0,0,0,-2,70,71,72,20,100,-57.37,1,-15.0,-30.0,-898.0,15:51:44.129720,192.168.0.113
97,3,6,-1,74,"-1,0,-176",-2,0,0,0,0,-1,70,71,78,20,100,-57.28,1,-31.0,3.0,-942.0,15:51:44.234764,192.168.0.113
102,3,7,-3,79,"0,0,-175",-2,0,0,0,0,-1,70,71,83,30,100,-57.25,1,-32.0,-52.0,-930.0,15:51:44.333758,192.168.0.113
107,3,7,-3,86,"-1,0,-174",-2,1,0,0,0,0,70,71,87,30,100,-57.34,1,-34.0,-16.0,-915.0,15:51:44.435732,192.168.0.113
112,3,5,-5,88,"-2,0,-173",-2,1,0,0,0,0,70,71,91,30,100,-57.3,1,-2.0,-35.0,-936.0,15:51:44.537977,192.168.0.113
117,3,5,-7,94,"-2,0,-172",-1,1,0,0,0,0,70,72,94,30,100,-57.25,2,-71.0,-12.0,-968.0,15:51:44.639510,192.168.0.113
123,3,5,-6,97,"-2,0,-173",-2,0,0,0,0,0,70,72,97,40,100,-57.2,2,-67.0,-19.0,-950.0,15:51:44.741472,192.168.0.113
128,3,-6,-11,97,"-8,0,-170",-3,0,0,0,0,0,70,72,100,40,100,-57.07,2,-55.0,-10.0,-948.0,15:51:44.844172,192.168.0.113
